ĐỎ VÀ ĐEN (Tập 1)	Vörös és fekete	0.229412
Cái con người quý hóa của Paris kia, mà ông thị trưởng Verrières hết sức thù ghét, chẳng phải ai khác hơn là ông Appert , vừa hai hôm trước, đã tìm được cách len lỏi không những vào nhà đề lao và viện tế bần của Verrières, mà cả vào bệnh viện mà ông thị trưởng và những nhà nghiệp chủ quan trọng nhất của địa phương quản lý công không.	Az a fiatal párisi úr, a ki a verrières-i polgármesternek oly ellenszenves, nem más, mint Appert úr, a ki két nap előtt be tudott jutni nemcsak a verrières-i börtönbe és a szegényházba, hanem a kórházba is, melynek kormányzását a polgármester és a környékbeli gazdagabb urak ingyen végezték.	0.25512
— Nhưng mà, bà de Rênal rụt rè nói, cái con người của Paris kia có thể làm gì hại ông được?	- De hát - szólt félénken de Rênal-né - mit árthat neked ez a párisi úr, miután a legszigorúbb becsületességgel kezeled a szegények jószágát?	0.318314
Ông vẫn quản lý tài sản của người nghèo một cách hết sức thẳng thắn phân minh kia mà.	- Csak azért jött, hogy gáncsolni valót leljen és azután czikkeket írjon a liberális ujságokba.	0.283516
— Hắn đến đây chỉ cốt để gieo lời chê trách, rồi hắn lại cho đăng bài trên các báo của phái tự do cho mà xem.		-0.3
— Thì ông có đọc những báo đó bao giờ đâu, hở ông.	- Hisz azokat úgy sem olvasod.	-0.0555556
— Nhưng người ta cứ đem những bài báo Jacobins đó mà nói đến tai chúng ta, tất cả những cái đó làm cho ta phân tâm và ngăn cản chúng ta làm điều thiện.	- De beszélnek róluk az embernek; ez elvon bennünket dolgainktól és megakadályoz a jó cselekedetekben.	0.09375
về phần tôi thì tôi sẽ không bao giờ tha thứ cho ông cha xứ.	A mi engem illet, sohasem fogok megbocsátani a plébánosnak.	0.250909
CHƯƠNG III	III.	-0.12
TÀI SẢN CỦA NGƯỜI NGHÈO	A SZEGÉNYEK JÓSZÁGA.	0.204545
Một cha xứ có đạo đức và không chạy vạy mưu mô, là một vị Phúc Thần cho thôn xã.	Az erényes és ármány nélkül való lelkész valóságos gondviselése a falunak.	0.240789
FLEURY	Fleury.	0.257143
Cần phải biết rằng cha xứ ở Verrières, một ông già tám mươi tuổi, nhưng nhờ khí hậu lạnh gắt của miền núi này mà có một sức khang kiện và một tính khí rắn rỏi đanh thép, có quyền đến thăm bất cứ lúc nào nhà đề lao, bệnh viện và cả viện tế bần nữa.	Tudnivaló, hogy a verrières-i plébános, egy nyolczvan éves aggastyán, a kit azonban a hegyi levegő vasegészséggel és vas-jellemmel ajándékozott meg, föl volt jogosítva, hogy bármikor beléphet a börtönbe, a kórházba, sőt a szegényházba is.	0.231878
Ông Appert, được giới thiệu từ Paris với cha xứ, đã khôn ngoan đến một thành phố nhỏ thóc mách đúng vào lúc sáu giờ sáng.	Épp reggeli hat óra volt, mikor Appert úr, a ki Párisból a plébánoshoz hozott ajánlatot, megérkezett az érdekes kis városba.	0.253846
Ông liền đến ngay nhà xứ.	Egyenesen a plébániára ment.	0.289655
Đọc bức thư của hầu tước de La Mole, nguyên lão nghị viện nước Pháp, và là nhà nghiệp chủ giàu nhất xứ, cha xứ Chélan ngồi trầm ngâm suy nghĩ.	Chélan abbé, miután elolvasta a levelet, melyet de La Mole marquis, Francziaország pair-je és a környék leggazdagabb földbirtokosa írt neki, gondolatokba mélyedten nézett maga elé.	0.623224
Mình già nua tuổi tác và được nhân dân ở đây yêu mến, ông tự lẩm bẩm một mình, họ chả dám đâu!	- Öreg vagyok és híveim szeretnek, - szólt végre halk hangon, mintegy önmagához beszélve, - nem lesz bátorságuk!	0.291509
Ông bèn quay ngay lại phía con người của Paris, đôi mắt ông, mặc dầu tuổi tác, sáng ngời ánh lửa thiêng liêng, biểu lộ niềm vui thích được làm một hành vi tốt đẹp hơn nguy hiểm.	- Ezzel gyorsan a párisi úr felé fordult, reáemelve szemét, melyben idős kora ellenére is ott ragyogott a szent tűz, a mi valamely nemes, de kissé veszedelmes tettre való elhatározás örömének a jele.	0.281967
— Thưa ông, ông hãy đi với tôi, trước mặt viên cai ngục và nhất là trước mặt những viên giám thị viện tế bần, xin ông đừng tỏ lộ một tí ý kiến gì về những điều trông thấy.	- Jőjjön, uram; de a porkoláb, különösen pedig a szegényházi felügyelők jelenlétében semmiféle megjegyzést se tegyen arra, a mit látni fogunk.	0.171739
Ông Appert hiểu ngay rằng đây là một con người có khí tiết. ~~~ Ông bèn đi theo ông cha xứ đáng tôn kính thăm nhà đề lao, bệnh viện và viện tế bần; hỏi rất nhiều câu và mặc dầu những câu trả lời kỳ dị, ông không dám tỏ một tí gì là vẻ chê trách cả.	- Appert úr megértette, hogy derék emberrel van dolga; követte a tiszteletreméltó lelkészt, megnézte a börtönt, a kórházat, a szegény-hajlékot, tett számos kérdést, de a legkülönösebb feleletek sem csalták ki belőle a legcsekélyebb kifogást se.	-0.0211165
Cuộc tham quan đó lâu hàng mấy tiếng đồng hồ.	A körút több óra hosszat tartott.	0.127273
Ông cha xứ mời ông Appert ăn cơm trưa, ông này nói thác rằng còn bận viết thư từ, ông ta không muốn làm rầy rà nhiều hơn nữa cho ông bạn đồng hành hào hiệp.	A plébános meghívta Appert urat, hogy ebédeljen nála, de ő kimentette magát, hogy leveleket kell írnia: nem akarta nemes kalauzát még rosszabb hírbe keverni.	0.374795
Khoảng ba giờ chiều, hai vị đó đi xem xét nốt viện tế bần, và sau đó trở lại đề lao.	Három óra felé folytatták a szegényház megtekintését, azután visszamentek a börtönhez.	0.276136
Đến đây, thấy ngay ở cổng vào viên cai ngục, một thứ người khổng lồ cao sáu pied và chân vòng kiềng, cái mặt đê tiện của hắn đã trở nên gớm guốc vì kinh khủng. ~~~ — À!	A kapuban ott találták a tömlöcztartót, egy hat láb magas, görbelábú óriást; nemtelen arcza undorító kifejezést öltött a réműlettől.	-0.0514925
Thưa ông, hắn vừa chợt trông thấy ông cha xứ đã vội nói ngay, ông này cùng đi với ông, có phải là ông Appert không?	- Ah, plébános úr, - szólt, mihelyt meglátta, - ez az úr nem Appert úr?	0.219808
— Có quan hệ gì?	- Miért?	-0.0333333
Cha xứ nói.	- kérdezte a lelkész.	0.115385
— Là vì từ hôm qua tôi nhận được lệnh hết sức rành mạch do ông tỉnh trưởng cho một viên cảnh binh đưa đến, viên cảnh binh này phải phi ngựa suốt đêm, là không được cho ông Appert vào nhà đề lao.	- Mert tegnap egy lovasfutár, a kinek az egész éjszakát át kellett vágtatnia, szigorú parancsot hozott a préfet úrtól, hogy ne ereszszem be Appert urat a börtönbe.	0.277143
— Ông Noiroud ạ, cha xứ nói, tôi tuyên bố với ông rằng ông khách này, cùng đi với tôi đây, chính là ông Appert.	- Vegye tudomásúl, Noiroud úr, - felelt a pap, ez az utas, a ki velem van, Appert úr.	0.272963
Ông có thừa nhận điều này hay không, là tôi có quyền vào thăm đề lao bất cứ lúc nào, ngày cũng như đêm, và muốn dắt ai đi theo tùy ý?	Elismeri-e, hogy jogom van a nappal vagy az éjjel bármely órájában belépnem a börtönbe, annak a kiséretében, a kivel nekem tetszik?	0.248361
— Vâng, thưa cha xứ, viên cai ngục nói nhỏ giọng và cúi đầu như một con chó sợ đòn mà dằn lòng phải tuân lệnh.	- Igen, plébános úr, - szólt a tömlöcztartó csöndesebb hangon és lehajtva fejét, mint a buldog, melyet a bot félelme kelletlen engedelmességre kényszerít.	0.238525
Nhưng, thưa cha xứ, tôi có vợ con, nếu tôi bị phát giác thì người ta sẽ cắt chức tôi, tôi chỉ trông vào có việc làm này để sống.	- Csakhogy, plébános úr, én feleséges és gyermekes ember vagyok és ha följelentenek, elcsapnak, pedig én az állásomból élek.	0.2475
— Nếu tôi mất việc của tôi, thì tôi cũng phiền lòng lắm chứ, cha xứ nhân hậu đáp, bằng một giọng mỗi lúc một xúc động thêm.	- Én is sajnálnám elveszíteni az enyémet, - jegyezte meg meghatott hangon a plébános.	0.0675
— Khác nhau lắm!	- Oh, az nagy különbség!	0.221053
Viên cai ngục vội đáp, cha xứ ạ, cha, thì ai cũng biết là cha có 800 livre tiền niên kim, có của nổi chắc chắn...	- vágott közbe gyorsan a tömlöcztartó. ~~~ - Mindenki tudja, hogy a plébános úrnak 800 livre évjáradéka van, biztos és független vagyona...	1.08049
Trên đây là những việc được người ta bàn tán, nói ngoa thêm bằng hai chục cách khác nhau, từ hai ngày hôm nay làm khởi động tất cả những mối hằn thù của cái thành phố nhỏ Verrières.	Ime, ezek azok a tények, melyek húszfélekép kommentálva és túlzottan kiszínezve, két nap óta forrongásban tartották a kis Verrières város összes gyűlölködő szenvedélyeit.	0.246746
Trong lúc này đây, những sự việc đó đang làm đề tài cho cuộc thảo luận nhỏ của ông de Rênal với vợ.	Ezúttal is ezek szolgáltatták a tárgyat ahhoz a beszélgetéshez, a mit de Rênal úr a feleségével folytatott.	0.603922
Sáng hôm nay, có ông Valenod giám đốc viện tế bần đi theo, ông ta đã đến nhà ông cha xứ để tỏ cho ông này biết nỗi bất bình hết sức của ông.	Reggel a polgármester úr Valenod úrral, a szegényház igazgatójával ott járt a plébánosnál, hogy kifejezze irányában élénk rosszalását.	0.415673
Ông Chélan, vốn chẳng có ai đỡ đần, cảm thấy tất cả tầm quan trọng của những lời lẽ của hai người kia.	Chélan úr nem számíthatott senkinek a védelmére; érezte tehát szavaik egész jelentőségét.	0.207692
— Thế thì, thưa ngài!	- Nos hát, jól van, uraim.	0.2875
Tôi sẽ là cha xứ thứ ba, tám chục tuổi đầu, bị cất chức ở vùng này.	Én leszek a környéken a harmadik plébános, a kit nyolczvan éves korában elmozdítanak állásából.	0.234615
Tôi ở đây đã được năm mươi sáu năm, tôi đã rửa tội cho hầu hết các cư dân của thành phố, hồi tôi mới đến chỉ là một cái thị trấn.	Ötvenhat év óta vagyok itt; jóformán én kereszteltem meg minden lakosát ennek a városnak, mely kis helység volt még csak, a mikor ide jöttem.	0.249231
Hàng ngày tôi làm phép cưới cho bọn trẻ, mà ngày xưa tôi đã làm phép cưới cho ông nội họ.	Naponta esketek oly fiatal párokat, a kiknek nagyszülőit én adtam össze.	0.167647
Verrières là gia đình của tôi, nhưng tôi tự nhủ, khi trông thấy ông khách này: "Con người này từ Paris tới, sự thật có thể là một người theo phái tự do, họ nhan nhản cả đấy mà; nhưng ông ta có thể làm hại gì cho những người nghèo và những tù nhân của chúng ta?"	Verrières-t úgy tekintem, mintha családom volna; mégis, mikor megláttam az idegent, így szóltam magamban: - Lehet, hogy ez a párisi ember a liberálisok közé tartozik, a kik, sajnos, nagyon is számosan vannak; de mi rosszat tehet szegényeinknek és a raboknak?	0.239744
Những lời trách móc của ông de Rênal, và nhất là của ông Valenod, giám đốc viện tế bần, mỗi lúc một gay gắt thêm.	Mikor pedig de Rênal úrnak, különösen azonban Valenod úrnak, a szegényház igazgatójának szemrehányásai mind hevesebbekké váltak, az agg plébános így folytatta:	0.359564
— Thế thì, thưa các ngài!	- Ám jó, uraim, mozdítsanak el!	0.289655
Các ngài cứ xin cất chức tôi đi, ông cha xứ già kêu lên, giọng run run.	- kiáltott föl remegő hangon.	-0.165517
Nhưng tôi sẽ vẫn ở xứ này.	- Azért mégis itt fogok lakni.	0.257143
Ai cũng biết rằng bốn mươi tám năm trước đây, tôi được kế thừa một thửa ruộng có lợi nhuận là 800 livre.	Tudják, hogy negyvennyolcz évvel ezelőtt egy darab földet örököltem, a mi nyolczszáz livre-t jövedelmez; ebből fogok élni.	0.294915
Tôi sẽ sống bằng số lợi tức đó. ~~~ Trong chức vụ của tôi, tôi không để ra được đồng nào, các ngài ạ, và có lẽ chính vì thế mà tôi không sợ hãi lắm khi người ta nói đến chuyện làm cho tôi mất chức.	Állásom javadalmából én, uraim, mitsem takarítok meg és talán ez az oka, hogy nem rettenek meg az elvesztésétől.	-0.102336
Ông de Rênal vốn rất hòa thuận với vợ, nhưng không biết trả lời thế nào cho cái ý kiến mà bà ta rụt rè nhắc lại: "Cái nhà ông ở Paris kia có thể làm hại gì cho bọn tù nhân?" Ông ta sắp phát cáu hẳn hoi thì vừa lúc đó bà ta kêu lên một tiếng.	De Rênal úr igen jó egyetértésben élt a feleségével; de mert nem tudott válaszolni az ellenvetésre, melyet az félénken ismételt, hogy: - Mi rosszat tehetne ez a párisi úr a raboknak?	0.328571
