Ivan S.Turgenev.	﻿Turgenyev	0.230769
cùng một giọng nói cất lên.	- Voltál a kerületi kapitányságon?	0.271875
Ông ta lầm bầm điều gì đó không rõ.. "Ê...có ai tới phải không?"	- kérdezte ugyanaz a női hang.	-0.171429
tôi lại nghe hỏi.	Az inas dünnyögött valamit.	0.18
"Thì ra cậu hàng xóm.	- Á?... ~~~ jött valaki?	-0.00681818
Vậy mời cậu ấy vào."	- szólalt meg újra.	0.189474
"Xin mời cậu vào phòng khách."	- A szomszéd úrfi! ~~~ - Kéretem.	-0.015
ông ta trở ra, nói với tôi, và cúi xuống nhặt cái dĩa thức ăn lên.	- A fogadószobába tessék - mondta az inas, mikor ismét megjelent, s felvette a tányért a padlóról.	0.215493
Cố kiềm chế lòng xúc động, tôi bước vào.	Utánaindultam, s beléptem a "fogadószobába".	0.273333
Căn phòng nhỏ và không sạch sẽ chi mấy, bàn ghế tuềnh toàng, sắp đặt bừa bải như thể có ai đã vội vã quẳng vào.	Kisebb, nem egészen tiszta szoba volt ez, szegényes, szinte hevenyében összeállított bútor­felszereléssel.	0.24
Cạnh cửa sổ, trong chiếc ghế sứt tay, một người đàn bà trạc chừng năm mươi tuổi, không đội mũ, xấu xí, mặc một chiếc áo xanh lục, với một chiếc khăn choàng bằng vải len sọc khoác quanh cổ.	Az ablaknál egy törött karfájú támlásszékben, körülbelül ötvenéves, dísztelen hajú, nem szép nő ült, régi zöld ruha volt rajta, tarka gyapjúsál a nyaka körül.	0.200625
Đôi mắt đen, nhỏ xíu như kim nhìn tôi chòng chọc.	Apró, fekete szemét erősen rám szegezte.	0.195
Tôi đến gần, cúi chào.	Odaléptem hozzá, s meghajtottam magam.	0.188889
"Xin kính cẩn ra mắt công nương Zasyekin?"	- Zaszekina hercegnével van szerencsém beszélni?	0.279545
"Ta là công chúa Zasyekin; còn cậu là con trai của ngài V.?"	- Zaszekina hercegné vagyok; s maga a V. úr fia? ~~~ - Az vagyok, kérem.	-0.00508475
"Vâng ạ. Tôi chuyển lời của mẹ tôi đến công nương."	Anyám megbízásából jöttem. ~~~ - Tessék helyet foglalni.	-0.0133929
"Mời cậu ngồi.	Vonyifatyij!	0.161538
Vonifaty, xâu chìa khóa của ta đâu rồi, ngươi có thấy không?"	Hol vannak a kulcsaim? ~~~ Nem láttad?	-0.15
Tôi chuyển lại cho công chúa Xasyekin câu trả lời của mẹ tôi.	Közöltem Zaszekina asszonnyal anyámnak az ő levelére küldött válaszát.	0.277612
Bà ngồi nghe tôi nói, nhịp những ngón tay béo mập màu đỏ lên thành cửa sổ, và sau khi tôi dứt lời, bà nhìn tôi một lần nữa.	Végighallgatott, vastag, vörös ujjaival az ablakpárkányon dobolt, s amikor befejeztem, még egyszer rám szegezte a szemét.	0.250435
"Tốt lắm; tôi sẽ đến," cuối cùng bà nói.	- Rendben van; feltétlenül ott leszek - szólalt meg végre.	0.2625
"Nhưng trông cậu còn trẻ quá!	- De maga milyen fiatal!	0.128571
Cho phép ta hỏi, cậu được bao nhiêu tuổi?"	Hány éves, ha szabad kérdeznem?	0.145161
"Mười sáu," tôi lập bập trả lời.	- Tizenhat - feleltem önkéntelen akadozással.	0.27
Công chúa lấy từ trong túi áo mấy miếng giấy nhớp nháp viết kín chữ, giơ lên gần mũi và bắt đầu đọc.	A hercegné teleírt, piszkos papírokat vett ki a zsebéből, közvetlenül az orra elé emelte, s elkezdte vizsgálgatni.	0.280556
Thình lình bà bật nói, "Tuổi đẹp lắm," cựa quậy trong chiếc ghế .	- Szép életkor - mondta aztán hirtelen, megfordulva és fészkelődve a széken.	0.29589
"Và xin cậu cứ tự nhiên như đang ở nhà.	- Kérem, ne feszélyezze magát.	0.16
Ta không giữ lễ nghi, kiểu cách."	Nálam minden egyszerű.	0.130435
"Đúng thế," tôi thầm nghĩ, liếc qua bộ dạng thiếu thẩm mỹ của bà với sự ghê tởm không kìm hảm nỗi.	"Nagyon is egyszerű" - gondoltam, önkéntelen utálattal nézegetve tiszteletet igazán nem parancsoló alakját.	0.271154
Ngay lúc ấy, một cánh cửa mở ra đột ngột, và đứng nơi khung cửa là thiếu nữ tôi đã gặp chiều hôm qua trong vườn.	Ebben a pillanatban a fogadószoba másik ajtaja hirtelen kitárult, s a küszöbén megjelent a lány, akit tegnap estefelé a kertben láttam.	0.2976
Tay nàng giơ cao, và một nụ cười diễu cợt rạng rỡ trên gương mặt.	Felemelte a kezét, s az arcán gúnyos mosoly jelent meg.	0.15
"Đây là con gái tôi," công chúa nói, hất khủy tay về phía nàng.	- Ez itt a lányom - mondta a hercegné, könyökével feléje mutatva.	0.270492
"Zinotchka, còn đây là con trai của người láng giếng, ngài V. Cho ta hỏi, cậu tên gì thế?"	- Zinocska, ez a szom­szédunknak, V. úrnak a fia. ~~~ Legyen szíves, mondja meg, hogy hívják.	-0.0133333
"Vladimir," tôi trả lời, đứng lên, và cà lăm vì phấn khởi.	- Vlagyimirnak - feleltem felállva, s a hangom bizonytalankodva megremegett.	0.281538
"Và tên của ông thân cậu?"	- S az apai neve?	-0.0428571
"Pẹtrovitch."	- Petrovics. ~~~ - Igen.	-0.0375
"A, ta cũng quen biết một Ủy viên cảnh sát cũng mang tên Vladimir Petrovitch.	Volt egy rendőrfőnök ismerősöm. ~~~ Azt is Vlagyimir Petrovicsnak hívták.	-0.0126761
Vonifaty!	Vonyifatyij!	0.21
không cần tìm xâu chìa khóa của ta nữa, chúng ở trong túi ta đây nè."	Ne keresd a kulcsokat! ~~~ Itt vannak a zsebemben.	-0.110714
Thiếu nữ vẫn nhìn tôi với cùng nụ cười cũ, mi mắt chớp nhẹ, và hơi nghiêng đầu sang một bên.	A fiatal lány még mindig az előbbi gúnyos mosollyal nézett reám, kissé hunyorító szemmel, s egy kicsit oldalra billentve fejét.	0.26
"Con đã gặp ông Voldemar," nàng bắt đầu nói.	- Én már láttam mszjő Voldemart - szólalt meg aztán.	0.293878
(Giọng nói thánh thót như bạc của nàng làm cho tôi rùng mình.)	(Ezüstcsengésű hangja édesen megbor­zon­gatott.)	0.219231
"Cậu bằng lòng cho tôi gọi cậu như thế ?"	- Megengedi, hogy így szólítsam?	0.16875
"Vâng ạ," tôi lúng túng.	- Tessék - dadogtam.	0.173684
"Gặp ở đâu vậy?"	- Hol láttad?	0.0923077
bà công chúa hỏi.	- kérdezte az anyja.	0.284211
Công chúa bé không trả lời mẹ.	A hercegkisasszony nem felelt az anyjának.	0.265714
"Cậu có bận gì không?"	- El van most foglalva?	0.21
nàng nói, không dời mắt khỏi tôi.	- kérdezte, nem véve le rólam a szemét.	0.291892
"Ô, không.'	- Egyáltalában nem.	0.138462
"Cậu có vui lòng giúp tôi tháo một mớ len?	- Segítene nekem a gyapjúfonalat bontogatni?	0.278571
Vào đây, theo tôi nào."	Akkor jöjjön csak ide hozzám.	0.252
Nàng gật đầu ra hiệu và bước khỏi phòng khách.	Intett a fejével, s kiment a fogadószobából.	0.223256
Tôi đi theo.	Én utánaindultam.	0.161538
Trong căn phòng chúng tôi bước vào, bàn ghế tốt hơn một chút, và được bày biện mỹ thuật hơn.	A szobában, melybe beléptünk, valamivel jobbfajta bútor volt, s több ízléssel berendezve.	0.237209
Tuy nhiên, thực tình mà nói, lúc ấy tôi không có khả năng nhận biết gì nữa; tôi đi như trong cơn mơ và cảm thấy xuyên suốt một niềm hạnh phúc mãnh liệt tới mức khờ dại.	Egyébként ebben a pillanatban alig vettem észre valamit: mintha álomban jártam-keltem volna - bárgyúságig fokozódó boldogságot éreztem egész lényemben.	0.225
Cô công chúa ngồi xuống, lấy một cuồn len đỏ và, ra hiệu cho tôi tới chỗ đối diện, cẩn thận mở cuồn len, đặt vào tay tôi.	A hercegkisasszony leült, elővett egy motring piros gyapjúfonalat, helyet mutatott nekem a vele szemben levő széken, gondosan kioldotta, s a két kezemre tette.	0.284672
Nàng làm tất cả chuyện này trong im lặng, hầu như cố tình diễu cợt, vẫn giữ một nụ cười tinh quái trên đôi môi mở hé.	S mindezt szó nélkül cselekedte, valami komikus lassúsággal s ugyanazzal a derűs, ravasz és gúnyos mosollyal... alig szétnyílt ajkain.	0.288189
Nàng bắt đầu quấn len vào một miếng bìa cong, và bất thình lình nhìn tôi, thật nhanh và ranh mảnh, khiến tôi sửng sờ, không thể không cụp mắt xuống.	Összesodort kártyára kezdte tekerni a fonalat, s egyszerre olyan ragyogó tekintetet villantott reám, hogy önkéntelenül lesütöttem a szemem.	0.234586
Thông thường đôi mắt nàng khép nửa vời, một khi mở to ra hết mức, gương mặt nàng biến đổi hoàn toàn; như thể chìm đắm trong biển ánh sáng.	Valahányszor az összeszűkűlő szem teljes nagyságúra nyílt - arca egészen megváltozott; mintha fényesség áradt volna el rajta.	0.221951
"Cậu nghĩ gì về tôi hôm qua, hở Cậu Voldemar?"	- Mit gondolt rólam tegnap, mszjő Voldemar?	0.225
nàng hỏi tôi sau một thoáng im lặng.	- kérdezte egy kis idő múlva.	0.182143
"Cậu nghĩ xấu về tôi, phải không?"	- Bizonyosan elítélt.	0.0545455
"Tôi....công chúa...tôi không nghĩ gì cả...sao tôi có thể nghĩ vậy đươc?..."	- Én... hercegkisasszony... semmit sem gondoltam... hogy is tehetném... - feleltem zavartan.	0.296429
tôi bối rối trả lời.	- Ide hallgasson - mondta erre.	0.288462
"Nghe này," nàng tiếp lời. ~~~ "Cậu chưa biết tôi. ~~~ Tôi kỳ lạ lắm; tôi thích nghe lời nói thật.	- Maga még nem ismer engem: én nagyon különös vagyok; megkívánom, hogy mindig igazat mondjanak nekem.	-0.128767
Tôi vừa biết, cậu mới có mười sáu tuổi, và tôi đã hai mươi mốt tuổi: cậu phải hiểu là tôi lớn hơn cậu nhiều, cậu phải luôn luôn nói thật với tôi....và làm theo mệnh lệnh của tôi," nàng thêm vào.	Maga, amint hallom, tizenhat éves, én pedig huszonegy; én, látja, sokkal idősebb vagyok, s ezért mindig igazat kell mondania nekem... és szót kell fogadnia - tette hozzá.	0.173377
"Nhìn tôi này: sao cậu không nhìn tôi hở?"	- Nézzen rám, miért nem néz rám?	0.178125
Tôi càng xấu hổ; tuy nhiên, tôi vẫn ngước mắt nhìn.	Még nagyobb zavarba estem; de ráemeltem a szemem.	0.213333
Nàng mĩm cười, không phải nụ cười như trước, mà là một nụ cười kẻ cả.	Elmosolyodott, de most már nem az előbbi, hanem más, helyeslő mosollyal.	0.219403
"Nhìn tôi," nàng nói, hạ giọng vuốt ve: "Tôi không phải không thích vậy...tôi thích gương mặt cậu; tôi có linh tính rằng chúng ta sẽ là bạn tốt.	- Nézzen rám - mondta gyöngédre halkítva a hangját -, nekem ez jólesik... Tetszik nekem az arca; előre érzem, hogy jó barátok leszünk.	0.2256
Thế nhưng cậu có mến tôi không ?"	Hát én tetszem magának?	0.1375
nàng nói thêm, láu lỉnh.	- tette hozzá huncutul.	0.231818
"Công chúa.." tôi bắt đầu nói.	- Hercegkisasszony - készültem felelni...	0.257143
"Điều trước tiên, cậu phải gọi tôi là Zinaida Alexandrovna, và điều thứ hai, là một thói xấu nếu như trẻ con" (nàng tự sửa) " nếu như người trẻ - không nói thẳng ra cảm tưởng của họ.	- Először is szólítson Zinaida Alekszandrovnának; másodszor pedig, miféle gyerekszokás (helyesbítette a szót), fiatalemberszokás az, hogy nem mondják ki nyíltan, amit éreznek?	0.500515
Với người lớn cũng thế.	Ezt hagyjuk a felnőttekre.	0.24
Cậu mến tôi, phải không?"	Nos, tetszem magának?	0.171429
Mặc dù rất vui sướng vì nàng đã chuyện trò cởi mở đến thế, nhưng tôi vẫn còn một chút ít tự ái.	Bár nagyon jólesett, hogy ilyen őszintén beszél velem, egy kicsit megsértődtem.	0.171429
Tôi muốn chứng tỏ cho nàng thấý, tôi không phải chỉ là một đứa trẻ con mà nàng đang chế ngự, và tôi nói, hết sức ra vẻ dễ dàng và nghiêm túc, "Chắc chắn vậy, tôi mến chị lắm, Zinaida Alexadrovna; tôi không cần phải dấu diếm điều đó."	Szerettem volna megmutatni neki, hogy nem kisfiúval van dolga, s lehetőleg fesztelen és komoly arcot vágva, megszólaltam: ~~~ - Persze, hogy tetszik nekem, Zinaida Alekszandrovna; nem akarom eltitkolni.	-0.0666667
Nàng thận trọng lắc đầu.	Ritmikusan ingatta a fejét.	0.242308
"Cậu có thầy dạy kèm không?"	- Van nevelője?	-0.06
bất thình lình nàng hỏi.	- kérdezte hirtelen.	0.18
"Không; đã lâu lắm rồi tôi không còn thầy dạy kèm."	- Nincs, nekem már rég nincs nevelőm.	0.102857
Tôi nói dối; tôi vừa chia tay ông giáo người Pháp của tôi chưa đấy một thàng.	Hazudtam: még egy hónap sem telt el azóta, hogy a franciámtól elbúcsúztam.	0.240845
"Ô!	- Ó!	0.3
vậy hả -- vậy cậu cũng khá trưởng thành rồi.	Most már látom, hogy egészen felnőtt.	0.178378
Nàng gỏ nhẹ lên ngón tay tôi.	Könnyedén ráütött az ujjaimra.	0.290625
"Giữ tay cho thẳng nào!"	- Tartsa egyenesen a két kezét!	0.265385
Và nàng chăm chú quấn mớ len.	- S nagy szorgalommal elkezdte gombolyaggá tekerni a fonalat.	0.084375
Tôi lợi dụng cơ hội nàng nhìn xuống để ngắm nàng, lúc đầu còn e dè, về sau dạn dĩ hơn.	Felhasználtam a perceket, amíg nem emelte rám a szemét, s nézni kezdtem, először titokban, majd egyre merészebben.	0.269072
Gương mặt nàng duyên dáng hơn tôi hôm qua; trên gương mặt ấy, mọi đường nét đều tao nhã, lanh lợi, và dịu dàng.	Most még gyönyörűbbnek láttam az arcát, mint tegnap este: olyan finom, okos és bájos volt minden vonása.	0.223469
Nàng ngồi trước một cửa sổ có che màn trắng, nắng xuyên qua màn, phủ một nguồn sáng êm đềm lên những lọn tóc cong vàng óng, chiếc cổ trong trắng, bờ vai thuôn, và bộ ngực thanh xuân.	Háttal ült a fehér függönnyel takart ablaknak; a függönyön átütő napsugár szelíd fénnyel öntötte el sűrű aranyhaját, szűzies nyakát, szép hajlású vállát, gyengéden nyugvó kis mellét.	0.280749
Tôi ngắm nàng, và cảm thấy nàng đã thân yêu và gần gủi biết là bao!	- Ránéztem - s milyen drágának és közelinek éreztem!	0.167308
Tôi có cảm tưởng như đã quen biết nàng từ lâu và chưa hề biết chuyện gì cũng như chưa hề sống cho đến khi gặp nàng.....Nàng măc một chiếc áo tồi tàn màu đậm và đeo một cái tạp dề.	Úgy tűnt fel nekem, mintha régóta ismerném, s nem ismertem volna semmit, s nem is éltem volna a mai napig... Sötét, de már viseltes ruhát hordott, köténnyel: úgy éreztem, szívesen eldédelgetném minden redőjét annak a ruhának és köténynek.	0.264179
