Bà Bô vary	Bovaryné	0.27
Nhưng Sáclơ không thể như thế mãi được.	Bovaryné összeszedte minden energiáját, s Bovary ur restelt ellentmondani neki.	0.121277
Bà mẹ cuống quýt can thiệp.	Unta is már ezt a vitatkozást.	0.267857
Còn ông bố thì sượng sùng, hoặc chán nản thì đúng hơn, ông ta nhượng bộ, không phản kháng nữa.	Elég az hozzá, elhatározták, hogy egy esztendő mulva, ha a gyerek már túl lesz az első áldozáson, beadják iskolába.	0.288679
Và họ còn chờ một năm để chú bé làm lễ rửa tội. ~~~ Sáu tháng nữa trôi qua; rồi năm sau, Sáclơ được gửi hẳn đến trường trung học Ruăng.	Még azután is vártak egy fél esztendőt; végre, a következő tanuló-évben, Károlyt csakugyan bevitték a rouen-i kollégiumba.	-0.0394737
Vào khoảng cuối tháng mười, hồi có phiên chợ Xanh-Rômanh, ông bố thân hành dẫn con đi.	Maga az apja vitte oda, október vége felé, a saint-romain-i vásár idején.	0.186957
Bây giờ thì không một ai trong chúng tôi nhớ được điều gì về hắn cả.	Most már egyikünk se igen fog emlékezni rá.	0.0219512
Thực là một người học trò tính khí ôn hòa, giờ chơi thì chơi, giờ học thì học, hắn ta chăm chú nghe giảng bài ở lớp, ngủ kỹ ở phòng ngủ, ăn khỏe ở phòng ăn.	Jelentéktelen, csendes fiu volt, aki nem sok vizet zavart; játszott, ha játszani, s tanult, ha tanulni kellett; az előadás alatt figyelt, a hálóteremben jól aludt, az ebédlőben jól evett.	0.292982
Đứng bảo lãnh cho hắn là một ông buôn bán đồ đồng, đồ sắt ở phố Găngtơri; cứ tháng tháng, vào ngày chủ nhật, sau khi đã đóng cửa hàng rồi, ông ta lại cho hắn ra trường một lần, đưa hắn đến tận cảng chơi, xem tàu bè, rồi lại dẫn về trường đúng mười chín giờ, trước bữa cơm tối.	Csak egy ismerőse volt, egy vaskereskedő, aki a Rue Ganterie-ben lakott, s aki minden hónapban eljött érte egyszer, többnyire vasárnap, amikor már becsukta a boltját. ~~~ Ez a barátja ilyenkor elküldte sétálni a kikötőhöz – a hol Károly elnézte a hajókat – aztán, este hét óra tájban, visszahozta a kollégiumba, még vacsora előtt.	-0.00535714
Mỗi chiều thứ năm, hắn lại viết cho mẹ hắn một bức thư dài bằng mực đỏ, dán phong bì bằng ba miếng hồ rồi ôn lại các bài sử hoặc đọc cuốn Anasáxix đã cũ, bỏ lay lắt trong phòng học.	Minden csütörtökön este hosszu levelet irt az anyjának, vörös tintával; a levelet mindig három ostyával ragasztotta le. ~~~ Majd átnézte a történelmi jegyzeteit, vagy Anacharsis-t olvasgatta, amely mindig ott hányódott a dolgozó-teremben.	-0.0131068
Trong những buổi đi chơi, hắn thường trò chuyện với người đày tớ cũng xuất thân từ nông thôn như hắn.	Ha sétálni mentünk, a szolgával beszélgetett, aki faluról jött legény volt, mint ő maga.	0.190588
Nhờ học tập cần cù, hắn luôn luôn giữ được hạng trung bình trong lớp, thậm chí có một lần, hắn còn giật được cả giải đầu khuyến khích về môn sinh vật.	Mivel nagyon szorgalmas volt, soha se tartozott az osztályban a legutolsók közé; sőt egyszer harmadik lett a természetrajzból.	0.151282
Nhưng cuối năm đệ tam, bố mẹ hắn cho hắn thôi trường trung học để bước vào ngành y, tin rằng hắn có thể tự học thi tú tài được.	De mikor elvégezte a hatodik osztályt, szülei kivették a kollégiumból, abban a meggyőződésben, hogy magától is le tudja tenni a baccalaureatus-t. Ugy végezték el, hogy orvos lesz belőle.	0.24
Mẹ hắn tìm thuê cho hắn một căn buồng trên gác tư, khu Ôđờ Rôbếch, tại nhà một ông thợ nhuộm quen thuộc.	Anyja szobát bérelt neki, egy selyemfestő ismerősüknél, a negyedik emeleten.	0.121622
Bà điều đình việc trọ học, đi mua đồ đạc, một bàn hai ghế, cho chuyển từ nhà lên một cái giường cũ bằng gỗ anh đào, rồi lại mua thêm một cái lò sưởi nhỏ bằng gang với ít củi dự trữ để đứa con tội nghiệp được sưởi ấm.	Kialkudta az ellátását, butort szerzett számára – egy asztalt és két széket – elhozatott hazulról egy régi jó cseresnyefa-ágyat, s vett neki egy kis öntött vas kályhát is, meg fát, sokat, hogy ne fagyjon meg szegény gyermeke.	0.240566
Mãi đến cuối tuần bà ta mới ra về, sau khi đã dặn đi dặn lại hắn cần cư xử tốt với mọi người vì từ nay hắn phải sống một mình.	Aztán a hét végén hazautazott, ujra meg ujra lelkére kötvén fiának, hogy viselje jól magát, most hogy magára van hagyatva.	0.21913
Hắn xem bản niêm yết, thấy chương trình học mà bàng hoàng: nào giải phẫu học, bệnh lý học, sinh lý học, dược học, hóa học, nào thực vật học, y học thực hành; liệu pháp học, chưa kể khoa vệ sinh và môn dược phẩm, toàn là những danh từ hắn mù tịt, chẳng biết nguồn gốc ở đâu, chẳng khác nào cơ man cửa thánh đường đầy những bóng tối uy nghiêm.	Károly szinte elkábult, mikor az orvosi egyetem hirdetményén végigolvasta az óra-rendet. ~~~ Anatómia, patológia, fiziologia, farmakologia, kémia, botanika, klinikai kurzus, terapeutika!	-0.177429
Hắn chẳng hiểu gì cả, hắn nghe giảng hoài mà vẫn chẳng nắm được.	– a higiénéről és a belső gyógyitás tudományáról nem is beszélve – az etimologiáját se tudta ezeknek a szavaknak.	0.15974
Tuy nhiên hắn làm việc cật lực, vở nào vở nấy đóng cẩn thận.	Megannyi ajtó, mely magasztos homálylyal teli szenthelyekre vezet!	0.256452
Hắn theo đủ các giáo trình, không bỏ qua một cuộc đi khám bệnh nào.	Semmit sem értett meg abból, a mit előadtak; hiába hallgatta, mindez csak nem akart a fejébe menni.	0.239189
Ngày ngày, hắn thực hiện đầy đủ nhiệm vụ của mình, như con ngựa mới tập, mắt bịt kín, cứ đi vòng quanh một chỗ, chẳng biết gì về cái công việc mình đang làm chật vật.	Pedig ernyedetlenül dolgozott, bekötött füzeteket vett magának, hallgatott minden tárgyat, nem mulasztott el egy leczkét sem.	0.116949
Muốn cho con đỡ tốn, hàng tuần bà mẹ nhờ người mang đến cho con một miếng thịt bê quay mà hắn dùng trong bữa sáng khi ở bệnh viện về, hắn vừa ăn vừa nện đế giày vào tường.	Ugy végezte mindennapi feladatát, mint a czirkusz-ló, mely bekötött szemmel forog ugyanabban a körben, nem tudva, hogy minő munkát őröl le.	0.154615
Sau đó, hắn phải chạy đi nghe giảng bài, đến giảng đường, tới viện cứu tế, rồi qua các phố trở về nhà.	Hogy kevesebbet kelljen költenie, anyja minden héten egy darab borjusültet küldött neki a gyorskocsival.	0.228866
Tối đến, sau bữa cơm đạm bạc của chủ nhà, hắn lên buồng riêng, lại học tập.	Ebből reggelizett, mikor délelőtt visszajött a kórházból, amúgy futtában, mert annyi ideje már nem volt, hogy egy kicsit kipihenje magát.	0.166667
Quần áo ẩm ướt trên người hắn bốc hơi trước lò sưởi đỏ lửa.	Vissza kellett rohannia az előadás-termekbe, a klinikára, a kórházba, egyik utczából ki, a másikba be.	0.217105
Những buổi chiều hè đẹp trời, vào cái giờ phố xá oi bức còn vắng vẻ, lúc các chị hầu gái thường chơi cầu ở thềm nhà, hắn mở cửa sổ ra, tỳ khuỷu tay vào thành cửa.	Este, mihelyt lenyelte a sovány ebédet, melylyel gazdája traktálta, fölment a szobájába és ujra munkához látott, ázott ruhájában, mely gőzölgött a testén az izzó kályha mellett.	0.275581
Trước mắt hắn, dòng sông con chảy bên dưới, ngay chỗ hắn ngồi, vàng, tím hoặc xanh lơ giữa những chiếc cầu và các hàng rào sắt, làm cho cái khu phố này của Ruăng giống như một thành phố Vơnidơ nhỏ bé và nhớp nhúa.	A nyári szép estéken, abban az órában, mikor a langyos utczák már üresek s csak a szolgálók bolondoznak egy-egy toll-lapdával a kapuk előtt, kinyitotta ablakát, rákönyökölt a párkányra és elmerengett. ~~~ A folyó, mely Rouennak ezt a részét afféle nemtelen kis Velenczévé teszi, hol szennyes-sárgán, hol viola-kéken folydogált odalenn, rácsozatai és hidjai között.	-0.0328125
Những bác thợ, ngồi xổm trên bờ, vục cánh tay xuống nước rửa.	Munkások guggoltak a parton s mosták a vizben felső karukat.	0.207273
Trên những chiếc sào dài từ những từng gác nóc nhà thò ra, những cuộn sợi bông đang phơi trước gió.	A padlásablakokból kinyuló póznákon gyapjukötegek száradtak a levegőn.	0.141667
Ở bên kia các mái nhà, bầu trời trong vắt đang tỏa rộng, mặt trời đỏ lặn dần.	Szemben, a háztetők felett, a nagy, tiszta eget látta s a lemenő vörös napot.	0.223944
Nơi ấy thú vị biết bao!	Milyen jó lehet arra messze!	0.288462
Dưới rặng cây giẻ hẳn là mát mẻ!	Micsoda illat a bükkfa-ligetben!	0.212903
Hắn cố hít những hương thơm từ cánh đồng xa chẳng đưa đến chỗ hắn được.	És kitágult orrlyukkal, nagyot lélekzett, mintha teli akarná szívni tüdejét a falu édes illataival, melyek nem érkeztek el hozzá.	0.184091
Hắn gầy đi, người dài ra, nét mặt như mang một cái gì sầu thảm trông cũng hay hay.	Megsoványodott, nyurgább lett s valami fájdalmas kifejezés volt az arczán, mely szinte érdekessé tette.	0.265909
Cố nhiên, bởi thiếu nhiệt tình, hắn đi tới chỗ rời bỏ những điều mình quyết định trước kia.	A nélkül, hogy gondolt volna rá, puszta nembánomságból, lassankint hűtlenné vált minden komoly elhatározásához.	0.294495
Có một lần hắn không đi thăm bệnh, hắn bỏ buổi nghe giảng vào hôm sau, rồi dần dà hắn chẳng đến lớp học nữa, khi hắn đã thưởng thức một cách khoái trá cái lười.	Egyszer elmulasztotta az előadást, másnap nem ment el a klinikára s örömet találván a renyheségben, végre tájékára se ment az egyetemnek.	0.178626
Hắn làm quen với tiệm rượu, say sưa đánh bài cẩu.	Korcsmába kezdett járni, s belehabarodott a dominójátékba.	0.289286
Đối với hắn, tối tối giam mình vào một phòng công cộng bẩn thỉu để đập chan chát trên bàn đá hoa những quân bài bằng xương cừu nhỏ điểm chấm đen là một hành vi tự do, quý báu, làm tăng giá trị của mình.	Bezárkózni esténkint egy szennyes nyilvános helyiségbe, hogy fekete pontokkal jelzett kis birkacsontokat csattogtasson egy márványasztalon, szabadsága oly becses bizonyitékának tünt fel előtte, hogy maga iránt való tisztelete valósággal megkétszereződött.	0.272124
Cái đó tựa hồ bài học vỡ lòng về cuộc đời, bước đầu đi vào những thú vui bị ngăn cấm, và, mỗi lần bước vào, hắn đặt tay lên núm cửa, với một niềm vui hầu như thuộc về nhục dục.	Ugy tetszett neki, hogy most már megismert valamit a nagyvilágból s közelebb jutott a tiltott örömökhez; és mikor benyitott a kávéházba, szinte érzéki gyönyörüséggel fogta meg az ajtó kilincsét.	0.266129
Thế là, bao nhiêu điều dồn ép trong lòng được giãn nở; hắn học thuộc lòng những khúc ca để hát trong những dịp thù tạc, nức lòng tán thưởng Bêrăngiê, biết pha chế rượu tiệc và cuối cùng biết yêu đương.	Egész sereg, eddig féken tartott érzés szabadult fel benne; kuplékat tanult meg és énekelgetett, ha rákerült a sor, lelkesedni kezdett Béranger-ért, megtanult puncsot késziteni, és végre megismerte a szerelmet.	0.251269
Vì chuẩn bị như thế, hắn thất bại hoàn toàn ở kỳ thi y sĩ.	Ezeknek az előkészitő munkálatoknak az eredménye természetesen az volt, hogy az orvosi vizsgálaton megbukott minden tárgyból.	0.0545455
Ngay tối hôm ấy, cả nhà hắn mong chờ hắn để mừng kết quả.	És otthon pompás vacsorával várták, hogy megünnepeljék a sikerét!	0.290909
Hắn đi bộ về nhưng dừng chân ở cổng làng, hắn nhờ người gọi mẹ ra, kể cho mẹ đầu đuôi mọi sự.	Gyalog indult haza s a falu szélén megállapodott. ~~~ Oda hivatta az anyját, elbeszélt neki mindent.	-0.0366667
Mẹ hắn tha thứ cho hắn, đổ tại việc hắn thi hỏng là tại ban giám khảo bất công.	Anyja mindjárt kész volt a mentséggel; a bukást egyszerüen a vizsgáló tanárok igazságtalanságának tulajdonitotta.	0.226667
Bà ta trấn tĩnh hắn đôi chút và nhận dàn xếp mọi việc.	Megnyugtatta fiát; ne féljen, nem lesz semmi baj.	0.186667
Mãi năm năm sau ông Bôvary bố mới rõ sự thật thì chuyện ấy đã cũ rồi, ông ta đành chịu, vả lại ông ta chẳng thể nghĩ rằng đứa con dứt ruột của mình lại là một thằng ngu ngốc được.	És Bovary ur csak öt esztendő mulva tudta meg az igazságot, a mikor már elavult a dolog. ~~~ Mit volt mit tennie?	-0.163918
Sáclơ lại cặm cụi học và không ngừng chuẩn bị những môn phải thi bằng cách học thuộc lòng trước mọi vấn đề.	Beletörődött. ~~~ Különben ugy se hitte volna el, hogy valaki, aki tőle kapta az életet, ostoba is lehet.	-0.0505263
Hắn thi đậu với một số điểm khá cao.	Károly tehát ujra dologhoz látott és szakadatlanul tanult, mig egyszer csakugyan elkészült.	0.00681818
Thật là một ngày tốt đẹp xiết bao dành cho bà mẹ!	Bevágta előre az összes kérdéseket, s vizsgálatát, elég jó kalkulussal, elfogadták.	0.15
	Mily boldog volt az anyja!	-0.3
Gia đình hắn mở một bữa tiệc linh đình.	Nagy lakomával ünnepelték meg a nevezetes napot.	0.3
Hắn sẽ đi đâu hành nghề?	Hol fogja gyakorolni a mesterségét?	0.26
Ở vùng Tôxtơ.	Tostes-ban.	0.175
Ở đó chỉ có một y sĩ già.	Ott csak egy orvos van, az is nagyon öreg.	0.24
Từ lâu, Bà Bôvary mẹ chờ đợi lão ta chết, nhưng lão chưa kịp cuốn gói về với tổ tiên thì Sáclơ đã đến dựng phòng khám bệnh trước cửa nhà lão như người kế nghiệp sẵn sàng.	Bovaryné már régen leste, mikor fog meghalni ez az öreg ur, s a derék aggastyán még le se hunyta a szemét, mikor Károly már letelepedett a szemközt lévő házban, mint az öreg ur utódja.	0.25
