Jules Verne - André Laurie	Jules Verne & André Laurie
Sápadt volt és fázott, egyébként nem szenvedhetett sokat, mert mihelyt felrezzent álmából, olyan élénken csillogtak a szemei.	Nói tóm lại, không đầy nửa giờ sau, tôi đã về đến nhà và trao chú bé tìm được cho Katrina.
Haza hoztam; aztán úgy, a hogy tőlünk telt, felneveltük... Sokáig tünődtem azon, hogy miként kerülhetett a tengerbe... Hajótörött bizonyára, de akkortájban a mi vidékünkön nem tudott senki hajótörésről... Vajjon ki és miért tette ki bölcsőstül a tengerre?...	Được uống sữa thỏa thuê và được sưởi ấm gần lửa, cháu bé trở nên kháu khỉnh, hồng hào và nhoẻn miệng cười nom thật dễ thương, đến nỗi, nói thật lòng, ngay từ đấy chúng tôi đã yêu quý cháu như đứa con trai của mình vậy.
- Drága kicsike!	- bác Hecsêbom quay sang bà Katrina hỏi.
- mondá a háziasszony, s újra megeredt szeméből a köny.	- Tất nhiên là thế rồi, tội nghiệp thằng bé!
- Hiszen a fiunkká fogadtuk, nem is tudom miért mondta el Malárius mester?...	- Đúng thế, - bác Hecsêbom khẳng định - Lẽ nào điều đó lại còn liên quan gì đến ai khác nữa sao?
- Malárius mestert nem illeti vád, jó emberek, - szólalt meg a doktor.	- Các bạn có lý, - bác sĩ nói - nhưng có gì đâu mà cần phải khép cho Maljarius cái tội bép xép.
- Aligha több annál; már négy fogacskája volt...	- Hacsêbom vừa nói, vừa cười.
- Ó micsoda szép egy gyermek volt!	- Ồ, đó là một thằng bé tuyệt diệu.
- kiáltott fel lelkesedve Kata asszony - tej-arczú, kövér, erős!...	- Katrina hào hứng bắt lời theo - vạm vỡ, trắng trẻo, mũm mĩm!
Micsoda karocskái és czombocskái voltak... Mintha...	Còn chân tay nó ấy à - cứ gọi là nhìn không biết chán!
- És a ruhája?	- bác sĩ hỏi.
- kérdé Schwaryencrona doktor.	- Như một hoàng tử bé con vậy!
Csupa gyönyörűség volt reá nézni.... Várjon csak; mindjárt megmuta­tom, mert eltettem emlékül.	Tôi đã cho cháu mặc quần áo mà Ôttô đã dùng chật, rồi chuyển tiếp cho Vanđa.
A derék asszony elővette a ládából, s büszkén mutogatta rendre a doktornak...	Các thứ của cháu còn đây, tôi sẽ đưa cho ngài coi ngay bây giờ.
- Ah, tehát ezért nevezték el Eriknek, nemde?	- Ông hỏi. - Ngài đã đoán đúng.
- Természetesen, - felelé az asszony élénken.	- Katrina trả lời.
- De nézze csak, ez a legszebb... ez a lánczocska volt a nyakán a csöppségnek... színarany és piros kövecske van benne és ez a kis aranypénz...	Cái việc làm ấy của bà đã làm cho bà vui hẳn lên, trong khi đó thì trái lại, nét mặt chồng bà trở nên rầu rĩ.
- Eleinte azt hittük, - folytatá Kata asszony, - hogy talán a gyermek neve van reá vésve.	- Bà Katrina nói thêm và lấy từ trong "kho bí mật" ra một cãi nhẫn vàng có sợi dây chuyền nhỏ.
- Malárius mester helyesen mondta, - viszonzá a doktor.	như trên và câu danh ngôn hằng tiếng La tinh "Sempcridem".
- Hogy tudhatnók, mikor a tengerből fogtam ki, - jegyzé meg Hersebom.	- Ngài Maljarius nói đúng.
- A bizony úgy van, - felelé a halász, s fejét lehorgasztotta.	- Thế các bạn chưa nghĩ đến gốc tích của cháu sao?
- Nos, tehát micsoda név volt azon a bojén?	- Làm sao mà biết được chuyện ấy, một khi tôi nhặt được cháu ở trên biển?
- Patvarba uram, nem káptalan az én fejem!...	- bác Hecsêbom trả lời.
Svédül még csak ki tudom az irást betűzni, de idegen nyelven!...	- Bác sĩ vấn lại, nhìn chăm chăm vào đôi mắt người đánh cá.
No hiszen állhat ott akármi... Régen is történt az egész dolog.	- Đương nhiên là như vậy - người đánh cá đáp, đầu cúi xuống.
- De talán vissza emlékszik reá... Gondolkozzék csak!...	- Vậy thế tên tàu đề trên chiếc phao cứu hộ ấy là gì?
No, hátha mégis csak eszébe jut valahogy?	Vả lại chuyện ấy đã lâu quá rồi.
- Talán valami efféle lehetett... nem tudom biztosan.	- Tôi cảm thấy trên phao viết chữ gì đó từa tựa như thế.
- A bojé nyomra vezetne... meg van még...	- người đánh cá trả lời quanh co.
- No hiszen, régen elégettük már!	- Đó là một tên nước ngoài.
- kiáltá mintegy diadalmasan a halász.	- Làm sao mà tôi biết được?
Az óczeán régen eltemette ezt a titkot.	Tôi nghiêng về ý đây là một tàu Anh.
- Már mint én?...	Có phải thế không? - Tôi ư?
- Sokkal jobban, mint a másik kettőt, - tevé hozzá Kata asszony, szemét köténye szélével törülgetve.	Chắc chắn là cho dù chúng tôi có tiêu phí tất cả những gì mình có thì cũng chẳng ăn thua gì!
- Csak abban hibáztunk, hogy olyan nagyon, de nagyon szerettük...	- Thậm chí còn hơn cả con ruột của mình ấy, miễn là điều kiện cho phép thôi.
E szavakra hosszú hallgatás következett.	Bắt đầu một sự im lặng sâu lắng.
- Igaza lehet, - mondá később Hersebom gazda fejét lehorgasztva.	- Nhưng chuyện đã rồi, đâu có làm lại được.
- Hanem hát, a mi meg­történt, az megtörtént... Erik a mi gyermekünk, miért tennők szóvá előtte a multat!...	Bây giờ Êrik đã thật sự là của chúng tôi, và tôi không có ý định kể cho cháu nghe chuyện cũ này nữa.
Felvette a bundáját, s távozott.	- ông nói thêm vẻ đầy ý nghĩa.
- Furcsa egy ember!...	- Quỷ thật!
Hersebom gazda valamit gondol.	NHỮNG SUY NGHĨ CỦA BÁC HECSÊBOM
Hersebom gazda nagyon nyughatatlanul töltötte ezt az éjszakát.	Hai khóe mắt đỏ ngầu chứng tỏ đêm qua bác mất ngủ.
Soha sem érezett világ­életében semmiféle lelkifurdalást, de a mióta Schwaryencrona doktor nála járt, mintha valami belemarkolt volna a szivébe.	Quả đúng như thế thật, Bác Hecsêbom xưa nay chưa bao giờ bị lương tâm cắn rứt cả; suốt đêm qua bác không chợp mắt phút nào, cứ trằn trọc mãi trên tấm nệm da.
- Anyjukom, az a doktor megzavarta a fejemet.	- Tôi cũng nghĩ mãi về chuyện đó từ lúc ông ấy đi đến giờ.
Folyton arra gondolok, a miket mondott.	- người phụ nữ ngay thẳng trả lời.
- Amondó vagyok, hogy igazsága volt a doktornak, - mondá csendes hangon a gazda.	Và nhỡ vì sự sơ suất của ta mà nó bị mất cái gia sản đó thì sao?
- Nem cselekedtünk egészen helyesen.	- Chính tôi cũng lo lắng về điều ấy.
Hátha csakugyan valami nagy szerencsétől fosztottuk meg hanyagságunk miatt a fiut?...	- Katrina thở dài đáp - Nếu mẹ của thằng bé còn sống, tội nghiệp bà ấy!
Hátha tizenkét év óta siratják őt a szülei, s méltán vádolhatnak minket, hogy hirt nem adtunk az elveszett fiuról...	Thì bà ấy đã đau khổ biết chừng nào, vì cứ tưởng thằng con mình đã bị chết chìm rồi!
- Hiszen éppen ezen aggódom én is... Hátha szegény fiúcskának él az édes anyja, s tizenkét év óta gyötrődik elveszett gyermeke miatt.	Tôi sẽ hình dung tôi sẽ ra sao đây, nếu như chúng ta cũng bị mất thằng Ôttô trong cảnh như thế... Chúng ta sẽ chẳng hao giờ yên lòng được cả.
Istenem-uram, hátha az én Ottómmal történt volna meg?...	- Điều đó cũng đúng thôi, nhưng thật ra ta chẳng biết gì cả.
- Hogyan is lehetne elképzelni, hogy a kis portéka anyja nélkül került volna a szerencsétlenül járt hajó fedélzetére... Mondom, az anya bizonyosan odaveszett.	Buộc một hài nhi vào phao cứu hộ là trường hợp hi hữu, đến mức khiến người ta có thể đặt ra mọi điều ước đoán.
- Igaz,... igaz, de hátha mégis megmenekült, csodálatos módon megmenekült... Az ember nem tudhatja.	Mà đã vậy thì chúng la hóa ra là những kẻ tòng phạm và vô tình đã tạo điều kiện để thực hiện tội ác.
- Arra is gyakran gondoltam, hogy elrabolták tőle a fiúcskát - mondá Hersebom.	Thậm chí nghĩ đến điều đó thôi cũng thấy là khủng khiếp!
- Ki merné azt mondani rólunk!...	- Thì tất nhiên, bởi vì mình có làm điều gì ác với thằng bé đâu!
- Mind úgy van, s mégis helytelenül cselekedtünk, hátha jöhet idő, mikor Erik szemünkre lobbantja...	- Điều đó thì khỏi lo, tôi tin là chỉ có mình tự trách móc mình điều này điều nọ mà thôi!
A doktor nagy jóakarattal fogadta Hersebom gazdát.	Những người đáng mến ấy đã suy lý như vậy đó.
Olybá tekintette a látogatást, mintha udvarias viszonzása lett volna az ő tegnapi látogatásának.	Người đánh cá đã quyết định hỏi ý kiến bác sĩ làm sao khắc phục sai lầm đã phạm.
Hétköznapi dolgokról beszélgetett vele, s a fiú dolgát egy árva szóval sem érintette.	Nhưng, bác sĩ không thấy cần phải trở lại ngay với đề tài câu chuyện hôm qua.
- Sohasem késő a kötelesség teljesítése, Hersebom gazda - felelé a doktor - bár ez idő szerint kissé nehezebben fog menni, mintha annak idején tette volna meg a kellő lépéseket... Bízik bennem?	- Thưa ngài bác sĩ - bác nói - cả tôi lẫn nhà tôi đều đã suy nghĩ thâu đêm suốt sáng về chuyện mà ngài đã nói với chúng tôi liên quan đến thằng bé.
Magamra vállalom, hogy kipuhatoljam, de csak egy feltétellel... hogy addig a fiú nálam, Stockholmban lesz és én gondoskodom a neveléséről...	Chúng tôi chưa hao giờ nghĩ rằng chúng tôi sai lầm gì trong việc đã nuôi dạy cháu như một đứa con trai ruột.
Hersebom gazdának e szavak hallatára nagyon elszorult a szíve, mintha egy nagy követ hengerítettek volna reá...	Ngài nghĩ thế nào, bắt đầu những việc tìm kiếm gia đình của Êrik bây giờ cũng chưa muộn chứ ạ?
- Eriket elviszi... Stockholmban neveli... és miért, doktor úr?	Bác có đồng ý giao nghĩa vụ ấy cho tôi không?
- kérdé elfogódottan.	- Giao Êrik cho ngài?...
- Megmondom, hogy miért.	- Tôi sẽ giải thích cho bác nghe ngay bây giờ.
A noroëi iskolában még olyan derék mester vezetése alatt sem vihetné sokra, mint a minő Malárius barátom.	Bởi vì ở đây thiếu thốn nhiều thứ để giúp cháu phát triển những năng khiếu hiếm có của mình.
Hersebom gazda szótlanul állott... Két öreg köny gördült alá becsületes arczán.	- Nhưng, như vậy là buộc chúng tôi phải mãi mãi chia ly nhau rồi, - bác nói.
- De doktor úr, hiszen akkor egészen elszakadna tőlünk!...	- Ô thôi, thưa ngài hác sĩ, cuộc sống của chúng tôi mà ngài rất coi thường ấy, nó hoàn toàn phù hợp với chúng tôi.
Hátha nem találják fel a szülőit!...	Có gì mà không thích hợp với thằng bé nào ?
Fáj nekünk ez a gondolat... Hiszen ő nagyon boldog nálunk... Miért fosztanók meg őt ettől a boldogságtól... hátha az a fényes jövő aztán nem vár reá?...	- Ai mà biết Êrik được hưởng những lợi lộc gì khi ngài biến nó trở thành một con nhà quý tộc không phải dùng đôi tay của chính mình để mà kiếm sống?
Olyan eszű gyermek, mint Erik, hamarább boldogul az életben az esze munkája, mint Noroëban a keze munkája után.	Điều ấy hoàn toàn có thể như vậy lắm, bởi vì đã mười hai năm trôi qua rồi còn gì!
- Higyje el, doktor úr, ez a mi foglalkozásunk nem olyan nagyon becsmérelni való!	Ngài bảo rằng một cuộc sống như thế sẽ không mang lại hạnh phúc cho Êrik ư?
Ha nekünk jó, miért ne lenne jó neki is?	Tôi xin phép không tán thành điều đó!
- Szó sincs róla, hogy becsméreljem!	Bởi vì tôi biết rõ thằng bé.
- kiáltott fel tűzzel a doktor, - nincs a becsületes munkának nagyobb tisztelője, mint én vagyok.	Tất nhiên nó yêu sách vở, nhưng, hơn hết trên đời này, nó yêu biển!
Avagy azt hiszi, Hersebom gazda, hogy én már elfelejtettem: honnan származtam?...	- Ở Xtôckhôm chúng tôi cũng có biển, - bác sĩ mỉm cười nói.
- Elhiszem!...	- Vậy thì cuối cùng ngài muốn gì?
- Hiszen Stockholmban is megtalálja a tengert, jó ember!	Cháu xuất thân từ một gia đình nào, không quan trọng.
- Elvégre is mi a szándéka vele a doktor úrnak?	Tạm thời chúng ta hãy quên nguồn gốc của cháu.
Próbáljuk meg, egyelőre bizza reám őt két esztendeig, hadd taníttassam őt, fényes tehetségeihez mérten adjuk meg neki a kellő nevelést.	Tôi xin nhận tạo mọi sự cần thiết cho cháu: sẽ thuê những thầy giáo giỏi nhất và tìm mọi cách để cho cháu tiến bộ.
Ez alatt a két év alatt én puhatolózom a szülei után, minden eszközt megraga­dok, hogy feltaláljam őket; ha szülei jelentkeznek, a gyermek természetesen szüleihez kerül vissza, ha nem találom fel őket, akkor vissza küldöm Noroëba.	Chúng ta cần ấn định thời hạn hai năm...Trong khoảng thời gian ấy tôi sẽ cố gắng làm tất cả những gì có thể làm được: Tiến hành những cuộc tìm kiếm, đăng thông báo trên các báo, cố bằng mọi cách để tìm được cha mẹ cháu.
Akkor tizenöt éves lesz, egyet-mást látott és tanult.	Bây giờ ta giả sử rằng sẽ tìm được cha mẹ cháu.
- Sőt annál is több, - a tiszta bölcseség, kedves doktor úr!	- Hợp lý lắm !...Thưa ngài bác sĩ, ngài đã nói lên điều rất thông thái!
- kiáltott fel lelkesedve Hersebom.	- Bác Hecsêbom thốt lên - Thế mới gọi là bác học được chứ.
- Most már egyetlen árva szóval sem tudok ellene mondani... Hja, ez a tudomány hatalma!...	- Bác vừa lắc đầu vừa nói tiếp - Thuyết phục được một người thất học chả khó khăn gì cả.
Csak az lesz nehéz dolog, hogy miként értetem mindezt meg az asszonynyal?...	Nhưng tôi biết nói thế nào với nhà tôi tất cả những điều ấy?...
Talán egy éj gondolkozási időt ad, doktor úr?	Thế ngài muốn khi nào đưa thằng bé đi theo?
