Léon Werth-nek	Tặng Léon Werth
- Olyan leszek majd, mintha valami bajom volna... egy kicsit olyan, mintha meghalnék.	- Hình như tôi ốm... Tôi hơi có vẻ sắp chết.
Úgy bizony.	Thế thôi mà!
Ne gyere el, semmi szükség rá, hogy végignézd... Nem éri meg...	Ông đừng đến nhìn trông cảnh đó, không cần đâu...
- Nem hagylak magadra.	- Tôi sẽ không rời em.
Ő szemlátomást gondterhelt volt.	Nhưng em có vẻ lo lắng.
- Azért mondom... a kígyó miatt.	- Tôi nói với ông cái này... cũng tại con rắn đấy.
Puszta kedvtelésből is marnak...	Chúng lại có thể vì thích mà cắn...
- Nem hagylak magadra.	- Tôi sẽ không rời em.
- Igaz, második marásra már nem marad mérgük...	- Song đúng là đến lần cắn thứ hai thì chúng chẳng còn nọc nữa đâu!...
Azon az éjszakán észre sem vettem, mikor kelt útra.	Đêm ấy, khi em lên đường, tôi không nhìn thấy.
Nesztelenül megszökött.	Em đã lặng lẽ trốn đi.
Mikor végre utolértem, elszántan, gyors léptekkel menetelt.	Khi tôi theo kịp em, em bước nhanh, cả quyết.
Csak ennyit mondott:	Em chỉ nói với tôi:
- Ó, hát itt vagy...	- Ôi, ông đấy ư?
És kézen fogott.	Rồi em cầm tay tôi.
De még mindig bántotta valami.	Nhưng em lại dằn vặt nữa:
Én csak hallgattam.	Còn tôi, tôi nín thinh.
- Ugye, érted?	- Ông biết không.
Túl nehéz.	Nặng lắm!
- Olyan lesz, mint egy levetett, régi kéreg.	- Nhưng nó sẽ cũng chỉ như một cái vỏ già lột ra vứt bỏ.
Mért volna szomorú egy levetett kéreg?...	Những cái vỏ già thì có gì đáng buồn...
- Tudod, milyen jó lesz?	- Sẽ hay lắm chứ, ông?
Én is nézem majd a csillagokat.	Tôi cũng sẽ nhìn các ngôi sao.
- Olyan mulatságos lesz!	- Sẽ thích biết bao nhiêu!
Neked ötszázmillió csengettyűd lesz, nekem ötszázmillió forrásom...	Ông sẽ có năm trăm triệu chiếc chuông nhỏ, còn tôi, năm trăm triệu vòi nước uống...
- Helyben vagyunk.	- Chỗ này.
Aztán azt mondta:	Em lại nói nữa:
- Tudod... a virágom... felelős vagyok érte.	- Ông biết đấy... Bông hoa của tôi... Tôi chịu trách nhiệm về cô ấy!
Egyebe sincs, mint négy semmi kis tövise, hogy a világtól védekezzék...	Để tự bảo vệ trên đời, cô chỉ có bốn cái gai có nghĩa lí gì đâu...
Leültem én is, mert nem bírtam tovább állva maradni.	Tôi ngồi xuống vì không thể đứng được nữa.
- Ennyi az egész.	- Chuyện chỉ có thế thôi mà!
Egy kicsit még tétovázott, aztán fölállt.	Em lưỡng lự một chút, rồi ngửng lên.
Egy pillanatig mozdulatlanul állt.	Em đứng một lúc không động đậy.
Nem kiáltott.	Em không khóc.
Én szomorú voltam, de azt mond­tam: "Azért, mert nagyon fáradt vagyok..."	Tôi buồn, và tôi nói với họ: "Mình mệt đấy thôi!"...
Most már egy kicsit megvigasztalódtam.	Bây giờ tôi đã nguôi nguôi.
Annyira mégsem volt nehéz... És szeretem a csillagokat hallgatni éjszakánként.	Thân xác ấy nào có nặng gì cho cam... Và bây giờ, ban đêm, tôi thích lắng nghe các ngôi sao.
Mintha ötszázmillió csengettyű volna...	Chúng như năm trăm triệu cái chuông nhỏ...
De lám csak, van itt egy rendkívüli kérdés!	Nhưng có xảy ra một điều không thường.
A szájkosárról, amit a kis hercegnek rajzoltam, lefelejtettem a bőrszíjat!	Chiếc rọ mõm mà tôi đã vẽ cho cậu hoàng tử, tôi đã quên vẽ thêm cái đai da!
Egyszer azt gondolom: "Nem, semmiképpen sem!	Lúc khác, tôi lại nghĩ: "Tin chắc là không!
A kis herceg mindig üvegbura alá teszi éjszakára a virágját, és éberen vigyáz a bárányára..." Ilyenkor boldog vagyok, és a csillagok mind kedvesen nevetnek.	Cậu hoàng tử đêm nào cũng ẩn giấu bông hoa của mình dưới cái bầu kính, và em canh chừng cẩn thận con cừu..." Nghĩ thế, tôi thấy tôi sung sướng.
Egy este elfelejti föltenni az üvegburát, vagy éjszaka nesztelenül kiszökik a bárány..." És ilyenkor a csengettyűk mind csupa könnyé változnak.	Một tối nào đó, em quên bẵng cái bầu kính, hoặc con cừu lẻn ra se sẽ trong đêm..." Nghĩ thế, các tiếng chuông liền biến hết thành nước mắt!...
Nézzetek föl az égre.	Bạn hãy nhìn trời.
És tegyétek föl a kérdést: megette vagy nem ette meg a virágot a bárány?	Bạn hãy tự hỏi: Con cừu đã ăn hay không ăn bông hồng nhỉ?
S ha netalán arra visz az utatok, kérve kérlek, ne siessetek, időzzetek el egy kicsit ott, pontosan a csillag alatt.	Và, nếu một mai mà bạn có qua nơi đó, tôi khẩn cầu bạn, xin chớ vội vàng, hãy đợi lại một chút ngay dưới ngôi sao!
