Turgenyev	Ivan S.Turgenev.
Bár nagyon jólesett, hogy ilyen őszintén beszél velem, egy kicsit megsértődtem.	Mặc dù rất vui sướng vì nàng đã chuyện trò cởi mở đến thế, nhưng tôi vẫn còn một chút ít tự ái.
Ritmikusan ingatta a fejét.	Nàng thận trọng lắc đầu.
- kérdezte hirtelen.	bất thình lình nàng hỏi.
- Nincs, nekem már rég nincs nevelőm.	"Không; đã lâu lắm rồi tôi không còn thầy dạy kèm."
Hazudtam: még egy hónap sem telt el azóta, hogy a franciámtól elbúcsúztam.	Tôi nói dối; tôi vừa chia tay ông giáo người Pháp của tôi chưa đấy một thàng.
- Ó!	"Ô!
Most már látom, hogy egészen felnőtt.	vậy hả -- vậy cậu cũng khá trưởng thành rồi.
Könnyedén ráütött az ujjaimra.	Nàng gỏ nhẹ lên ngón tay tôi.
- Tartsa egyenesen a két kezét!	"Giữ tay cho thẳng nào!"
- S nagy szorgalommal elkezdte gombolyaggá tekerni a fonalat.	Và nàng chăm chú quấn mớ len.
Felhasználtam a perceket, amíg nem emelte rám a szemét, s nézni kezdtem, először titokban, majd egyre merészebben.	Tôi lợi dụng cơ hội nàng nhìn xuống để ngắm nàng, lúc đầu còn e dè, về sau dạn dĩ hơn.
Most még gyönyörűbbnek láttam az arcát, mint tegnap este: olyan finom, okos és bájos volt minden vonása.	Gương mặt nàng duyên dáng hơn tôi hôm qua; trên gương mặt ấy, mọi đường nét đều tao nhã, lanh lợi, và dịu dàng.
Háttal ült a fehér függönnyel takart ablaknak; a függönyön átütő napsugár szelíd fénnyel öntötte el sűrű aranyhaját, szűzies nyakát, szép hajlású vállát, gyengéden nyugvó kis mellét.	Nàng ngồi trước một cửa sổ có che màn trắng, nắng xuyên qua màn, phủ một nguồn sáng êm đềm lên những lọn tóc cong vàng óng, chiếc cổ trong trắng, bờ vai thuôn, và bộ ngực thanh xuân.
- Ránéztem - s milyen drágának és közelinek éreztem!	Tôi ngắm nàng, và cảm thấy nàng đã thân yêu và gần gủi biết là bao!
Úgy tűnt fel nekem, mintha régóta ismerném, s nem ismertem volna semmit, s nem is éltem volna a mai napig... Sötét, de már viseltes ruhát hordott, köténnyel: úgy éreztem, szívesen eldédelgetném minden redőjét annak a ruhának és köténynek.	Tôi có cảm tưởng như đã quen biết nàng từ lâu và chưa hề biết chuyện gì cũng như chưa hề sống cho đến khi gặp nàng.....Nàng măc một chiếc áo tồi tàn màu đậm và đeo một cái tạp dề.
Úgy éreztem magam, mint a hal a vízben, s szerettem volna örökre itt maradni ebben a szobában, soha el nem hagyni ezt a helyet.	Tôi sung sướng như cá gặp nước, và tôi có thể ở trong căn phòng đó mãi mãi, không bao giờ bỏ đi.
- Hogy néz engem - szólalt meg lassan, s megfenyegetett az ujjával.	nàng thong thả nói, và đưa một ngón tay ra như đe dọa.
Elpirultam... "Mindent ért és mindent lát - villant át az eszemen.	Tôi đỏ bừng mặt..."Nàng hiểu hết, nàng thấy hết," ý nghĩ đó vụt xuất hiện.
- S hogy is ne értene és ne látna mindent!"	"Và làm sao nàng lại không thể hiểu và thấy cho được?'
Hirtelen zörej hallatszott a szomszéd szobából - kard csörrent.	Thình lình một tiếng động trong phòng kế bên vang lên -- tiếng long cong của một thanh kiếm.
- Zina!	"Zina! "
- kiáltotta a hercegné a fogadószobából: - Belovzorov kiscicát hozott neked.	bà công chúa réo lên ở phòng khách, "Byelovzorov đem cho con một chú mèo con nè."
- Kiscicát!	"Mèo con!"
- kiáltott fel Zinaida, s heves mozdulattal felugrott a székről, térdemre dobta a gombolyagot s kiszaladt.	Zinada kêu lên, và lập tức đứng dậy, thảy trái banh len lên đầu gối tôi và chạy đi.
A hercegné mellett, csaknem az egész ablakközt eltakarva, pirospozsgás arcú, kiduzzadó szemű, göndör hajú, szőke huszár állt.	Đứng cạnh bà công chúa, và chiếm gần hết khoản không gian ở giữa hai cái cửa sổ, là một thanh niên tóc xoăn màu hung hung, một kỵ binh, gò má hồng hào và đôi mắt lộ.
- S szeme nem szürke, hanem zöld, s a füle milyen nagy!	Zinaida nói; "và mắt nó không phải màu xám, mà là xanh lục, và tai nó dài thế kia!"
Köszönöm, Viktor Jegorics!	Cảm ơn anh nhé, Viktor Yegoritch!
Maga nagyon kedves.	anh tốt bụng quá."
A huszár, akiben ráismertem az egyik tegnap esti fiatalemberre, elmosolyodott és meghajolt; közben összeütötte a sarkantyúját, és megcsörrentette kardja karikáit.	Người kỵ binh, tôi nhận ra, là một trong những người tôi đã gặp tối hôm qua, mĩm cười và cúi chào với tiếng đinh thúc ngựa chạm vào nhau và tiếng lách càch của vỏ gươm.
- Tegnap azt tetszett mondani, hogy szeretne egy nagy fülű cirmos kiscicához jutni... itt van, szereztem.	"Hôm qua cô nói rằng cô thích nuôi một con mèo vằn, tai dài... nên tôi mang đến.
A szava számomra parancs.	Lời của cô là luật."
- S újra meghajolt.	và chàng cúi chào lần nữa.
A macska halkan nyávogott, s szagolgatni kezdte a padlót.	Chú mèo con kêu yếu ớt và bắt đầu lọ mọ hít ngửi.
- Éhes!	"Nó đói!"
- kiáltott fel Zinaida.	Zinaida kêu lên.
- Vonyifatyij, Szonya!	"Vonifaty, Sonia!
Hozzatok tejet!	đem sửa lại."
A szobalány régi, sárga ruhában s kifakult kendővel a nyakán, behozott egy tálacska tejet, s odatette a cicus elé.	Một cô hầu, áo vàng củ kỷ, khăn quàng cổ đã phai màu, đem ra một dĩa sửa và đặt trước con mèo.
A cica megrázkódott, hunyorgatott, aztán lefetyelni kezdett.	Mèo con chớp mắt, và bắt đầu liếm láp.
A kismacska jóllakott, és dorombolni kezdett, s kényeskedve váltogatta lábait.	Chú mèo no nê, bắt đầu kêu rò rò và đưa chân vờn điệu đàng.
Zinaida felállt, s a szobalány felé fordulva, egykedvűen ezt mondta:	Zinaida đứng dậy, quay lại cô hầu, thản nhiên nói, "Đem nó đi."
- Mind a kettőt - felelte Zinaida, s feléje nyújtotta a két kezét.	"Cả hai tay," Zinaida trả lời, và đưa tay ra.
Míg a huszár megcsókolta, a lány a vállán keresztül átnézett reám.	Trong khi chàng hôn tay, nàng nhìn tôi qua bờ vai chàng.
Mozdulatlanul álltam egy helyben, s nem tudtam, nevessek, mondjak valamit vagy hallgassak.	Tôi đứng như trời trồng, không biết nên cười, nói hay im lặng.
Egyszerre az előszoba nyitott ajtaján keresztül, szemembe tűnt Fjodor inasunk alakja.	Thình lình tôi thấy qua khung cửa mở, trên lối đi, người quản gia nhà tôi, Fyodor.
Jeleket adott nekem.	Ông ra hiệu cho tôi.
Gépiesen odamentem hozzá.	Một cách máy móc, tôi bước ra.
- Mit akarsz?	"Ông muốn gì?"
- kérdeztem.	tôi hỏi.
- Édesanyja elküldött az úrfiért - mondta suttogva.	"Thân mẫu cậu bảo tôi đi tìm cậu," ông ấy thì thào.
- Haragszik, hogy nem jön vissza a válasszal.	"Bà đang giận vì cậu chưa đem lời phúc đáp về."
- Hát régóta itt vagyok?	"Sao vậy, bộ tôi đã ở đây lâu lắm sao?"
- Több mint egy órája.	"Hơn một tiếng đồng hồ."
- Több mint egy órája!	"Hơn một tiếng đồng hồ!"
- ismételtem önkéntelenül, visszatértem a fogadószobába, s bokámat összeütve, búcsúzni kezdtem.	tôi lập lại một cách vô ý thức, và trở lại phòng khách, tôi bắt đầu cúi chào, và kéo gót giày chào.
- Hova készül?	"Cậu đi đâu thế?"
- kérdezte a hercegné, a huszár mögül kitekintve.	cô công chúa hỏi, liếc tôi từ đàng sau người kỵ binh.
- Haza kell mennem, kérem.	"Tôi phải về.
Megmondom tehát - tettem hozzá az öregasszony felé fordulva -, hogy egy órakor tetszik eljönni hozzánk.	Vậy tôi sẽ nói," tôi nói thêm, với bà chủ nhà, "rằng công nương sẽ đến nhà chúng tôi lúc hai giờ chiều."
- Ezt mondja, öcsém.	"Vâng, xin cậu bẩm lại như thế."
A hercegné gyorsan elővette burnótos szelencéjét, s akkorát tüsszentett, hogy beleremegtem.	Bà công chúa hối hả lôi ra hộp thuốc lá và hít thật mạnh khiến tôi thiếu điều nhảy nhổm.
- Ezt mondja - ismételte, pislogott megkönnyesedett szemével, és nyögött egyet.	"Xin cậu vui lòng bẩm lại như thế," bà lập lại, nước mắt ràn rụa, chớp mắt và nhảy mủi.
Még egyszer meghajoltam, megfordultam és kimentem a szobából, hátamban bizsergető érzéssel; az a fiatalember érez ilyet, aki tudja, hogy utána néznek.	Tôi cúi chào một lần nữa, quay đi, và ra khỏi phòng với cảm giác ngượng nghịu trên lưng khi một thanh niên biết người khác đang quan sát mình từ đàng sau.
Anyám megszidott, s nagyon csodálkozott: mit csinálhattam a hercegnénél olyan sokáig.	Mẹ tôi rầy và hỏi tôi đã làm gì ở nhà công chúa quá lâu.
Nem feleltem a kérdésére, s bementem a szobámba.	Tôi không trả lời bà và đi về phòng mình.
5	Chương 5
A hercegné, ígérete szerint, meglátogatta anyámat; nem tetszett neki.	Công chúa Zasyekin đến thăm mẹ tôi như đã hứa, và gây nên một ấn tượng xấu.
Én nem voltam ott, amikor találkoztak, de az ebédkor anyám azt mondta apámnak, hogy az a Zaszekina hercegné "une femme tres vulgaire",1 nagyon terhére volt azzal a kérésével, hogy járjon közbe Szergej hercegnél az érdekében, mindenféle ügyei és perei vannak, "de vilaines affaires d’argent"2 - s hogy bizonyosan nagyon intrikus személy.	Lúc đó tôi đi vắng, nhưng ở bàn ăn mẹ tôi kể lại với cha rằng công nương là một người femme très vulgaire, làm mẹ phát ngấy vì nài nỉ mẹ kêu gọi sự chú ý của Hoàng tử Sergei, công nương dường như dính líu tới nhiều vụ thưa gời và làm ăn mờ ám - de vilaines affaires d'argent - , công nương hẳn phải là một người hay tạo ra phiền phức và thích kiện tụng.
Anyuska azonban hozzátette, hogy lányával együtt meghívta holnapra ebédre (mikor a "lányával" szót meghallottam, lehajoltam a tányér fölé) - mert hát mégis szomszéd, és jó neve van.	Mẹ tôi nói thêm, tuy nhiên mẹ đã mời hai mẹ con công chúa đến ăn tối vào ngày mai (tôi cúi gầm mặt trên dĩa thức ăn khi nghe đến "cô con gái"), vì nói cho cùng công nương là hàng xóm và là dân quý tộc.
De apám azt mondta anyámnak, hogy most már tudja, ki ez az asszony: fiatal korában ismerte a néhai Zaszekin herceget, kitűnő nevelésben részesült, de üres lelkű, hebehurgya ember volt; a társaságban "le Parisien"-nek hívták, mert sokáig élt Párizsban; nagyon gazdag volt, de szerencsejátékokon elvesztette egész vagyonát, s nem lehet tudni, miért, alighanem a pénzért - ami ezt illeti, jobban is választhatott volna - tette hozzá apám hideg mosollyal -, feleségül vette valami hivatalnoknak a leányát, spekulálni kezdett, s végleg tönkrement.	Đến đây, cha tôi bảo rằng ông đã nhớ ra; hồi còn trẻ cha tôi có quen biết với hoàng thân quá cố Zasyekin, ngài thuộc giòng dõi nề nếp, nhưng tính tình nông nổi và kỳ quặc; có biệt hiệu là "le Parisien" vì đã sống rất lâu ở Paris; rất giàu nhưng đã tiêu tan tài sản vì cờ bạc; và vì một lý do nào đó không rõ, có lẽ là tiền bạc, mặc dù có thể lựa chọn khéo hơn nều quả thật vậy, cha tôi nói với một nụ cười vô cảm, kết hôn với con gái của một tay môi giới, và sau đám cưới đã tham gia đầu cơ tích trữ rồi khánh tận.
- Csak ne kérjen pénzt kölcsön - jegyezte meg anyám.	Mẹ tôi nói: "Chỉ mong sao bà ấy đừng vay tiền mình,"
- Az is lehet, hogy kér - mondta csendesen apám.	"Dám lắm đấy," cha tôi trả lời bình thản.
- Beszél franciául?	"Bà ấy biết nói tiếng Pháp chứ?"
- Nagyon gyengén.	"Dở tệ,"
- Hm.	"Hừm.
Úgy tetszik, azt mondtad, hogy a leányát is meghívtad; valaki azt állította nekem, hogy nagyon kedves, művelt leány.	Em nói em có mời cô con gái phải không; có người bảo rằng cô ấy rất duyên dáng và tao nhã."
- Az apjára sem - tette hozzá apám.	"Cũng không giống cha," cha tôi phụ họa. "
Anyám sóhajtott és elgondolkozott.	Mẹ tôi thở dài, chìm đắm vào nỗi suy tư.
Apám többet nem szólt.	Cha tôi không nói gì thêm.
Én egész beszélgetésük alatt nagyon kellemetlenül éreztem magam.	Tôi cảm thấy bất an suốt buổi trò chuyện ấy.
Ebéd után lementem a kertbe, de puska nélkül.	Sau bửa cơm tối, tôi đi dạo trong vườn, nhưng không mang theo súng.
Most egyedül volt.	Lần này chỉ có một mình nàng.
Kis könyvet tartott a kezében, s lassan haladt az úton.	Tay cầm một quyển sách, nàng chậm rãi bước trên lối đi.
Nem vett észre.	Nàng không để ý đến tôi.
Már-már elszalasztottam volna; de hirtelen észbe kaptam, s köhécselni kezdtem.	Tôi gần như để cho nàng vượt qua; nhưng thình lình tôi đổi ý và ho lên.
Visszafordult, de nem állt meg, félresimította kerek szalmakalapjának széles kék szalagját, rám nézett, csendesen mosolygott, s megint a könyvébe mélyedt.	Nàng xoay mình, nhưng không ngừng bước, tay vén giải ruy-băng rộng màu xanh của cái nón rơm tròn, nhìn tôi, chậm chậm mĩm cười, và một lần nữa cúi xuống những trang sách.
Levettem a sapkámat, egy darabig egy helyben topogtam, aztán nehéz szívvel továbbmentem.	Tôi dở nón ra, và sau một thoáng do dự, bước đi, lòng nặng chĩu. "
- Que suis-je pour elle?3 - gondoltam (isten tudja, miért) franciául.	Que suis - je pour elle?" tôi suy nghĩ bằng tiếng Pháp (chỉ có trời mới biết vì sao).
Ismerős lépéseket hallottam magam mögött: hátranéztem - apám jött felém gyors és könnyű járásával.	Tiếng chân quen thuộc vang lên sau lưng; tôi nhìn quanh, cha tôi tiến gần, bước chân ông nhanh nhẹn, nhẹ nhàng.
- Az ott a hercegkisasszony?	"Có phải cô ấy là cô công chúa?"
- kérdezte.	cha tôi hỏi.
- Talán ismered?	"Ủa, con quen với cô ấy à?"
- Ma reggel láttam, mikor a hercegnénél voltam.	"Con gặp cô ấy sáng này bên nhà họ."
Apám megállt, aztán hirtelen sarkon fordult és visszament.	Cha tôi ngừng chân, quay gót thật gọn, đi ngược lại.
Mikor Zinaidával egy vonalba érkezett, udvariasan köszönt neki.	Khi bước song song với Zinaida, cha cúi chào nàng.
A lány is köszönt, nem minden csodálkozás nélkül az arcán, s leeresztette a könyvet.	Nàng, cũng thế, chào lại cha, một vẽ sửng sốt nào đó lộ ra trẻn mặt, nàng đánh rơi quyển sách.
