ANTOINE DE SAINT-EXUPÉRY	Antoine de Saint-Exupéry
Mermoz eltökélten műve mögé rejtőzött, mint az arató, aki derekasan megkötötte kévéit, és lefekszik aludni a tarlón.	Mermoz hẳn đã nằm giấu thân ở trong vòng sự nghiệp, giống như người thợ gặt kết bó xong xuôi lượm lúa, ngả người nằm xuống ngủ giữa đồng.
Az utazások véletlene kell hozzá, hogy a hivatás nagy családjának szétszórt tagjai itt vagy ott összegyűljenek.	Cần trận ngẫu nhĩ những cuộc viễn du, mới bất ngờ tụ họp đâu đó những phần tử rải rác của đại gia đình nghề nghiệp.
Az élet talán messze sodor a bajtársaktól, talán nem is enged időt, hogy gondoljunk rájuk, de vannak valahol; hogy hol, nem is igen tudjuk, hallgatagon, elfeledve - de hűek, nagyon hűek!	Các bạn hữu, xa ta vì đời xô đẩy, xa ta vì cuộc sống không cho phép ta nghĩ tới họ nhiều, nhưng họ vẫn còn ở tại một nơi nào đó chẳng biết, lặng lẽ và bị lãng quên, nhưng xiết bao trung thành chung thủy!
És ha útjaink keresztezik egymást, milyen kitörő örömmel vernek hátba!	Và nếu trên đường đi chợt gặp, họ còn nắm lấy vai ta lắc mạnh, vồ vập vui mừng!
De lassanként ráeszmélünk, hogy ennek vagy annak a tiszta nevetését nem halljuk többé, hogy az a kert örökre bezárult előttünk.	Tới lúc bấy giờ, mối đau lòng mới trỗi dậy niềm tang tóc thật sự mới khởi đầu.
Akkor kezdődik igazi gyászunk; nem szívet tépő, kicsit keserű.	Không da diết, đoạn trường, nhưng pha mùi chát chát.
Ezeket a barátságokat nem lehet újraépíteni.	Mất đi, làm sao tạo ra trở lại.
Ha tölgyet ültetsz, s azt hiszed, árnyékában pihenhetsz nemsokára: - hasztalan reménység.	Trồng một cây sồi, cây phong, cây bồ đề, và mong sắp được nằm mơ dưới bóng lá nay mai, đó là ảo mộng.
Egy hivatás nagysága elsősorban talán abban van, hogy egyesíti az embereket; csak egyetlen igazi fényűzés van: az emberi kapcsolatoké.	Sự cao quý của một nghề có lẽ trước tiên là: kết hợp con người lại; chỉ một điều hòa hoa quý trọng, ấy là tình bạn trong giao tế trần gian.
Ha csupán anyagi javakért dolgozunk,; magunk építjük magunk köré börtönünket.	Nếu làm việc chỉ nhằm riêng những mục đích vật chất, chúng ta sẽ tự xây tù ngục cho mình.
Ha emlékeim között kutatok, melyik hagyott maradandó ízt bennem, ha fölállítom azoknak az óráknak a mérlegét, amelyek számítottak: mindig azok voltak az igaziak, amelyeket nem a pénznek köszönhettem.	Nếu tôi tìm lại trong kỷ niệm mình những hình ảnh nào ghi tạc sâu xa, nếu tôi dò tính lại những ngày giờ nào đáng kể, thì chắc chắn rằng tôi sẽ tìm thấy được những gì không một thứ tiền của nào tạo nổi.
Egy Mermoz barátságát, egy olyan társunk szeretetét, akivel az együtt átélt megpróbáltatások örökre összekapcsolnak - nem lehet pénzen megvásárolni.	Người ta không thể mua được những tình bạn Mermoz, của một bạn đường mà riêng những giờ kham khổ sống chung đã gắn chặt họ vào đời ta mãi mãi.
És nem lehet pénzen megvásárolni az éjszakai repülés élményét, ezernyi csillagával, komolyságával, s azzal a nagyszerű érzéssel, hogy néhány órára mindentől fölszabadultunk.	Cái đêm bay ngày nọ, với những tinh tú trên trời, cái niềm thanh thản trong vương quyền chúa tể bát ngát vài giờ, làm sao đem bạc tiền mà mua cho được.
És nem lehet azt a leigázatlan Afrikában töltött éjszakát sem, amelynek emléke most fölbukkan bennem.	Và không mua được cái đêm sống giữa những người không đề huề giao hảo tôi còn nhớ lại bữa nay.
Az Aéropostale három repülőgépe alkonytájban elakadt a Rio de Oro partvidékén.	Chúng tôi gồm ba đội phi cơ của hãng Aéropostale chịu bí lối tại bờ Rio de Oro, lúc trời sắp tối.
Elsőnek barátom, Riguelle hajtott végre kényszerleszállást, csatlórúd-töréssel, azután egy másik bajtársam, Bourgat szállt le, hogy segítséget vigyen neki, de egy jelentéktelen géphiba őt is földhöz kötötte.	Anh bạn Riguelle hạ cánh trước hết, vì gãy trục; một bạn khác, Bourgat, bay đến để đón phi đội Riguelle về, nhưng máy anh cũng bị hỏng luôn.
Harmadiknak én kötöttem ki, de mire elértem őket, leszállt az éjszaka.	Tuy hỏng nhẹ, nhưng cũng đủ gắn chặt anh tại mặt đất.
Elhatároztuk, hogy Bourgat gépét megmentjük, és megvárjuk a nappalt, hogy rendesen elvégezhessük a javítást.	Chúng tôi quyết định phải cứu phi cơ anh Bourgat, và muốn nên việc, phải đành chờ mai sáng.
Egy évvel azelőtt két hajótörött bajtársunkat, Gourpot és Erable-t pontosan ezen a helyen mészárolták le a mórok.	Một năm trước, hai bạn Gourp và Erable hỏng máy tại đây, bị bọn người phiến loạn giết chết.
Láthatták messziről a három leszállást, talán már föl is kerekedtek; éber virrasztás kezdődött, életünkben talán az utolsó.	Ba lần hạ cánh xuống đây, tất từ xa chúng tôi đã bị họ trông thấy, và có lẽ đêm nay là đêm cuối cùng chúng tôi thức cũng nên.
Éjszakára összegyűltünk falunknak ezen a nagy terén, ezen a homokfolton, melyre ládáink reszkető fényt vetettek - és vártunk.	Tụ họp nghỉ qua đêm nơi địa điểm lớn rộng khu làng nọ, nơi dãi đất cát với những ánh lửa nến leo lét, chúng tôi chờ đợi.
Ugyanolyan könnyű forróság áramlott bennünk, mint egy jól megrendezett ünnepen.	Chúng tôi kể cho nhau nghe những kỷ niệm, chúng tôi nô đùa, chúng tôi ca hát.
Szél, homok és csillagok: trappistáknak való kemény élet.	Đúng là thể điệu khắc khổ của kẻ tu hành.
De ezen a rosszul megvilágított terítőn hat vagy hét férfi, akinek emlékein kívül nem volt többé semmije a világon, láthatatlan kincseken osztozott.	Nhưng trên thảm cát ánh sáng lờ mờ kia, sáu bảy người với những bàn tay trắng, đã chia nhau không biết bao nhiêu của quý vô hình.
Az emberek sokáig haladnak egymás mellett csöndjükbe zárva, vagy ha szólnak: a szavak nem mondanak semmit.	Trong bao lâu, người ta bước đi sát cánh nhau, nhưng mỗi người im lìm mỗi cõi, có nói cũng chỉ nói những tiếng vu vơ.
Akkor váll a vállhoz simul.	Vai kề vai chung gánh.
Ráeszmélünk, hogy ugyanegy közösségbe tartozunk.	Ta chợt thấy mình cùng nhau ở chung một đoàn thể.
Az ember tágulni kezd, amint mások lelkét fölfedezi.	Hồn mở rộng do khám phá những hồn khác bên mình.
Széles mosollyal összenézünk.	Nhìn nhau môi cười rộng rãi.
Olyanok vagyunk, mint a fogoly, aki megszabadul, és elámul a tenger végtelenségén.	Như tên tù nọ được giải phóng đương ngây ngất nhìn mặt biển bao la.
Van egy tulajdonság, aminek nincs neve.	Có một đức tính không tên.
Úgy mutattak be, mint aki csirkefogótréfákkal szórakozik; mintha a bátorság azt jelentené, hogy gimnazistacsínyekhez alacsonyodunk a legsúlyosabb veszedelemben, a halál közelében.	Người ta không hiểu anh, Guillaumet ạ. Nhạo báng những địch thủ của anh, trước khi đương đầu với họ, đó là điều anh thấy không cần thiết gì hết.
Ha komisz viharral kerülsz szembe, azt mondod: "Komisz vihar." Elfogadod és megméred.	Tôi xin đưa ra đây những kỷ niệm của mình để làm chứng cho anh.
Patagóniából tértem vissza, Mendozában csatlakoztam Deley pilótához.	Từ Patagonie về, tôi vội vã theo phi công Deley đi Mendoza.
Elvesztettünk minden reményt.	Chúng tôi mất hết hy vọng.
- Guillaumet... él!	- Guillaumet… còn sống!
Akik ott voltak, csupa idegen, mindnyájan összeölelkeztek.	Mười phút sau, tôi cất cánh, chở theo hai anh thợ máy, Lefebvre và Abri.
Tíz perc múlva indultam, és negyven perccel később leszálltam egy út mellett, mert megismertem - miről, nem tudom - a kocsit, amely San Raphaël felől hozott téged, nem tudom hová.	Bốn mươi phút sau, tôi hạ cánh dọc theo một quãng đường vì nhận ra, chẳng rõ vì sao lại nhận ra, cái chiếc xe đương chở anh đi chẳng rõ đi đâu, nhưng hướng về phía San Raphael.
Később elmondtad nekünk, mi történt veled.	Về sau, anh kể lại tai nạn cho chúng tôi nghe.
A vihar negyvennyolc óra alatt öt méter magas hóval borította be az Andesek chilei lejtőjét, eltorlaszolta az egész vidéket; az amerikai Pan-Air pilótái sorra visszafordultak.	Một trận bão trút xuống, suốt bốn mươi tám tiếng đồng hồ, một lớp tuyết dày năm thước trên triền núi Andes ngó qua địa phận Chili, lớp tuyết lấp kín khung trời, những người Mỹ hãng Pan-Air đã quay về hết.
Te mégis útra keltél, hogy hasadékot keress az égboltozaton.	Nhưng anh thì vẫn cất cánh bay tìm một kẽ hở trên không.
Valamivel délebbre megtaláltad ezt a kelepcét: mintegy hatezer-száz méter magasságban a felhők fölött, melyek nem értek túl hatezer méteren, és melyekből csak a csúcsok emelkedtek ki, Argentína irányába fordultál.	Xế về phía Nam, anh tìm ra nó, cái cạm bẫy kia, và lờ lững bay trên từng cao sáu nghìn năm trăm thước, anh cưỡi trên mây mù chỉ cao sáu nghìn thước và để ló ra riêng những chóp núi thật cao, anh bay, hướng về chân trời Argentine.
A lefelé haladó légáramlatok néha kínos meglepetéseket okoznak a pilótának.	Những luồng không khí thổi xuống thường gây cho phi công một cảm giác khó chịu dị thường.
A motor szabályosan dolgozik, mégis lemerül az ember.	Máy vẫn quay đều, nhưng phi cơ bị dìm xuống mãi.
Felhúzza, hogy tartsa a magasságot, a gép veszít sebességéből, petyhüdtté válik: újra és újra lemerül.	Ta cố gượng hướng tàu trở lên để giữ vững độ cao, phi cơ mất tốc lực, yếu đi dần dần: ta cứ bị nhận chìm xuống mãi.
Egy kozmikus szerencsétlenség foglyának érzi magát.	Ta cảm thấy như mình bị mắc nghẹn trong một tai nạn càn khôn.
Nincs többé menedék.	Hết đường trớ tránh.
Hiába próbál visszafordulni, hogy megtalálja háta mögött azt az övezetet, ahol a levegő fönntartaná, tömören és biztosan, mint egy oszlop.	Ta luống cuống cố gắng quay trở lui, mong tìm gặp những khu vực nào ở phía sau mà không khí sẽ nâng mình lên vững chắc và tròn đầy như một cột trụ.
De nincs többé semmiféle oszlop.	Nhưng còn cột trụ nào đâu.
A magas hegységben minden olyan különös...	Mọi sự sao mà kỳ dị thế ở những vùng non cao."
És milyen felhők vannak!...	Sao mà bướng bỉnh!
Az áram elkapott, elengedtem a kormányt, belekapaszkodtam az ülésbe, hogy ki ne repüljek a gépből.	"Vừa mắc nghẽn trong đó, tôi liền thả lơi tay lái, bấu chặt vào ghế để khỏi bị bắn tung ra ngoài.
A lökések olyan hevesek voltak, hogy a szíjak fölsebezték vállamat, és majdnem kiszakadtak.	Phi cơ rít lên, lắc mạnh, dày vò thân tôi, những sợi nịt da gặm vào thịt vai, và suýt đứt.
Háromezerötszáz méter magasságban vízszintes, fekete tömeget pillantottam meg: ekkor végre be tudtam igazítani a gépet.	Xuống tới ba nghìn thước rưỡi, tôi chợt thấy một khối đen bằng phẳng, giúp tôi lấy lại thăng bằng cho phi cơ.
Egy tó volt előttem, fölismertem: a Lagúna Diamante.	Đó là một mặt hồ, tôi kịp nhận ra: hồ Laguna Diamante.
Tudtam, hogy egy tölcsér mélyén nyúlik el, a tölcsér egyik oldalán a hatezerkilencszáz méter magas Maipu tűzhányó emelkedik.	Tôi từng biết hồ kia nằm khoanh trong đáy hố, đáy hang một thung lũng phiêu bồng, mà một phía sườn lại nép bên ngọn hỏa sơn Maipu cao sáu nghìn chín trăm thước.
Körben forogtam a lagúna fölött, harminc méter magasságban, mindaddig, míg el nem fogyott az üzemanyagom.	Tôi đành bay vòng quanh hồ, ở độ cao ba chục thước, cho tới lúc kiệt xăng.
Amikor kikecmeregtem a gépből, a vihar feldöntött.	Tôi thoát ra khỏi tàu thì bão tố đánh tôi ngã ngữa.
Kénytelen voltam a gép alá mászni; ott gödröt ástam magamnak a hóban.	Tôi lồm cồm gượng dậy trên hai chân, thì bão tố đánh tôi nhào sấp.
És mentem, öt napon és négy éjszakán át."	Bước đi năm ngày bốn đêm…"
De mi maradt belőled, Guillaumet!	Nhưng còn chi là tấm thân anh nữa!
Még aznap este repülőgépen Mendozába vittelek; a fehér takarók úgy borultak ott rád, mint egy balzsam.	Ngay chiều hôm đó, tôi đưa anh lên phi cơ chở anh về lại Mendoza, những chăn nệm trắng tinh phủ ngập thân anh như ôm ấp.
Tested nem felejtette el a sziklákat, a havat.	Chúng đã ghi tạc dấu vết nơi thân anh rồi.
Figyeltem fekete, dagadt arcodat, olyan volt, mint egy ütődött, érett gyümölcs.	Tôi nhìn khuôn mặt anh đen sạm, sưng vù giống như một trái ủng bị bóp bầm dập.
Kifogyhatatlanul hömpölyögtek, és te huszadszor is újrakezdted a harcot a hamvaiból föltámadó ellenséggel.	Anh phải đấu đi, chọi lại mãi hàng mấy chục lần với những quân thù cứ chết đi, sống lại.
Orvosságot adtam neked.	Tôi đổ thuốc cho anh:
- Idd meg, öregem.	- Gắng uống đi, bạn!
- Tudod, ami legjobban megdöbbentett...	- Điều khiến tôi ngạc nhiên nhất nhất… anh biết…
Győztes ökölvívó, aki magad is súlyos ütéseket kaptál: újra átélted különös kalandodat.	Võ sĩ thắng cuộc, nhưng bị những đòn quá nặng, anh sống trở lại cuộc phiêu lưu kỳ dị của mình.
