HOMÉROSZ	Homer
hátha van út menekülni. De én nemigen hiszek ebben.	Nhưng đương sự vung hai tay ôm đầu gối van xin, năn nỉ thảm thiết.
Fennhangon sírtak s a kövér könny hullt a szemükből;	Ngô bối nên rút khỏi nơi này tức khắc với số người còn lại.
Embereket meg nem támadtak, a társak elébe	Đến để giải thoát hả?
és az oroszlánok.	Nhìn này!
"Kedveseim, valamely nő ottbenn nagy szövetet sző, és dalol is szépen, visszhangos tőle a padlat;	Thoạt đầu nàng sửa soạn hợp chất, tiếp theo nàng kín đáo bỏ thần dược vào cúp.
Eurülokhosz maradott csak kinn, ki a cselt gyanitotta.	Ta sẽ chỉ người đáng thương cách ứng phó.
szíve a kíntól oly sebzett volt: két szeme könnyel	Khó khăn thế nhân mới bứt nổi, song với thần linh thật dễ dàng.
erdős völgynek ölén épült szép házra találtunk,	Đến cửa tiện nhân dừng lại cất tiếng gọi to.
síma csiszolt kőből magasult, tisztás közepében.	Nghe thấy yêu phụ tức tốc đi ra, mở cửa bóng lộn mời vào.
Bent, éles hangján, nagy vásznat szőve, dalolt egy	Lòng buồn hiu hắt tiện nhân bước theo.
s mást se hozol már vissza.	Thành phố nào, cha mẹ ra sao?
De fussunk gyorsan ezekkel messzire: tán a gonosz napot így valahogy kikerüljük."	Ta lấy làm lạ, lạ hết sức, uống thần dược mà người không mê mẩn.
Azt se tudod, hol jársz.	Nhưng thôi!
Kirkénél vannak a társak,	Như vậy đủ rồi.
jóhegyü kardod a combod mellől rántsd ki azonnal,	"Circe thề tức thì đúng như tiện nhân đòi hỏi.
"Honnan jössz te, ki vagy?	Phải chăng lo bẫy gài?
istennő, ha te nem téssz nékem szörnyü nagy esküt,	Tất cả nhận ra tiện nhân, lần lượt ùa tới nắm tay.
Egyikük ekkor a karszékekre vetette a pompás	Nàng cũng mủi lòng thương hại.
majd hogy a víz már felforrott ama fényes edényben,	Trước hết cùng tay chèo kéo tất cả lên bãi.
rám, vállamra, fejemre, amígcsak a lélekemésztő	Tiếp theo đem vật dụng và thuyền cụ vào để trong hang.
már sohasem kell	Nhưng thôi!
ettől rettegned: megtettem már a nagy esküt."	Xin đại nhân cho hay số phận đồng hành kết thúc ra sao!’"
oldd fel az én jó társaimat, hogy lássam is őket."	"Nghe tiện nhân nói họ nhanh nhảu làm theo.
és kiterelte kilencéves disznókra hasonló	Các người đi đâu vậy?
átkos szertől nőtt, mit adott volt nékik az úrnő;	Tại sao dẫn xác tới tư thất Circe?
És meg is ismertek s átkulcsolták kezem is már.	"Eurylochos nói thế.
"Zeusz-táplálta király, megtértél, s úgy örülünk mind,	Vừa tới ngô bối thấy tất cả ngồi trong đại sảnh ăn uống.
Mért vágytok a vészre?	Thế đủ rồi!
rántsam-e ki, s vágjam le fejét, hogy a földre guruljon,	"Nàng nói thế ngô bối vội vàng chấp nhận.
bár közeli s kedves rokonom; hanem erre köröttem innen is, onnan is, édes szókkal esengtek a társak:	Thế là ngày lại ngày, suốt năm, ngô bối lưu lại đó ăn miếng ngon, uống vang thơm lu bù.
gyapjupalástot adott rájuk, szép inget is ekkor;	"Họ nói thế tiện nhân hối hả chấp nhận.
többé már ne zokogjatok ennyire; jól tudom én is,	Lòng riêng ta muốn lên đường, đồng hành cũng vậy.
és miután eltelt az az év, évszakra az évszak,	"Nghe nói thế, tiện nhân bủn rủn chân tay.
hónap a hónap után sorvadt el a hosszu napokkal,	Ngồi trên giường tiện nhân bật khóc.
s társaimé is, akik kedves szivemet zokogással	Thuyền sẽ băng qua sông Đại Dương.
És az erőtlen elhúnytakhoz hosszan esengve,	Thầy đoán sẽ tới tức thì.
és fejüket fordítsd Erebosz fele, ámde te fordulj	Circe mặc cho tiện nhân tu-ních và áo choàng.
Ekkor a jós maga jön majd hozzád, nép vezetője,	Vĩnh biệt giấc ngủ ngon lành.
és megmondja utad, megmondja az útnak a hosszát,	Giờ lên đường đã điểm.
S drága palástot adott rám és szép inget a nimfa;	Circe vương giả khẳng định với ta!’"
indultok; de bizony más útra ereszt tova Kirké:	Tiếc thay không phải.
Szóltam ekép; s elakadt kedves szívük dobogása,	"Nghe tiện nhân nói tất cả chết điếng cõi lòng.
és hajukat tépték nyöszörögve, leültek a földre;	Ngồi thừ tại chỗ tất cả vò đầu bứt tóc bật khóc.
csakhogy semmit sem használt panaszos zokogásuk.	Nhưng than vãn, xúc động đến mấy cũng vô ích.
És hogy a tengerpartra s a fürge hajóhoz elértünk,	Ngô bối lần đường ra thuyền trên bãi biển.
míg a szivünk búsult s a szemünkből hullt a kövér könny,	Ngô bối cất bước, lòng buồn tang tóc, nước mắt giàn giụa.
s könnyeden illant el: ki vehetné észre szemével,	Nữ thần lướt qua dễ dàng, ngô bối không nom thấy.
NEKÜIA	Khúc 11
árbocot is raktunk bele, vásznat a barna hajóra,	Xong đâu đấy tất cả bước xuống, lòng buồn hiu hắt, nước mắt như mưa.
széphaju Kirké, félelmes, zengőszavu isten.	Buồm căng thuyền lướt sóng vượt biển suốt ngày.
Elrendeztük egészen a bárkánk fölszerelését,	Mặt trời lặn, bốn bề tối như bưng."
Ott van a kimmeriosz nép városa, lakhelye, ködbe	"Đến nơi ngô bối đưa thuyền lên bãi cát.
És az erőtelen elhúnytakhoz hosszan esengtem,	"Vong linh đầu tiên tới là vong linh đồng đội Elpenor.
folyt feketén a gödörbe a vér, gyülekeztek az elhúnyt	Cất tiếng gọi vọng qua tiện nhân nói lời như có cánh bay xa: ‘Elpenor!
holtak lelkei mély Ereboszból, sűrü sereggel.	Tới đây làm gì, vùng đất sương mù âm u?
Ifju menyasszonyok, ifjak, gyötröttéletü aggok,	Đi bộ mà ngươi nhanh hơn ta chèo thuyền!’"
nyúzzák s égessék meg, az isteneket megimádván,	Linh hồn lẳng lặng xuống âm phủ.
senkit a vérhez, amíg nem szóltam Teiresziásszal.	Nếu vậy bỉ phu sẽ kêu gọi thần linh thịnh nộ trừng trị.
Kirké háza ölében a testét megsiratatlan	Xin làm thế cho bỉ phu!
míg te tovább utazol, ne legyek neked istenek átka;	"Tiện nhân lui lại, đút kiếm vào bao nạm bạc.
hogy szomorú sorsom tudják meg a megszületendők.	Nhưng có thần linh sẽ khiến hành trình trắc trở, khó khăn.
és legelő tehenekre találtok, nagyszerü nyájra,	Dân chúng sung túc quây quần thương xót.
Hélioszéra, ki mindent lát és hall a világon.	Đó là sự thật lão hủ nói ngài hay.’"
Hogyha pedig bántod, veszedelmet jósolok akkor,	Dẫu thế nói bản nhân hay, nói thật không che đậy, không giấu giếm.
embereidnek s bárkádnak; te magad ha megélsz is,	Bản nhân thấy vong linh thân mẫu ở đây.
dölyfös férfiseregre, amely vagyonod fölemészti;	Lão công, nói bản nhân hay làm thế nào bà nhận ra bản nhân là con đẻ?"
isteni hitvesedet kérik mind, kincset ajánlva. Csakhogy erőszakukért bosszút állsz majd hazatérve;	"Không chút chần chừ Teiresias đáp: ‘Thưa, sự thể đơn giản lão hủ giải thích ngài hay.
Majd amidőn egy más vándor jő szembe veled s szól:	Vì sao hãy còn sống lại xuống nơi này, chốn âm u, vùng ảm đạm?
magszóró a lapát, mit fényes válladon őrzöl,	Mắt trần không dễ nhìn ra.
boldogan él.	Thưa chưa!
Most pedig áruld el nekem azt és szólj egyenes szót:	Nhưng thôi kể con hay, kể rõ ràng, từng điểm.
Elhúnyt holtakból ha akárkit a vér közelébe	Ốm đau lâu ngày phải không?
Így szólt, s már indult Hádész házába a fennkölt	Nói con hay bố con, cháu nhỏ con để lại ra sao.
itta az éjszinü vért.	Vợ con thế nào?
Rámismert nyomban utána,	Nàng nghĩ gì và định làm gì?
és zokogó hangon hozzám szárnyas szavakat szólt:	Vẫn ở với con con, vẫn trông nom tài sản?
S meglátni nehéz élőknek e tájat.	Hay lấy quý tộc Achaian rồi?"
otthon sem voltam, nyomorult vagyok, egyre bolyongok,	Ngủ không giường, không nệm, không chăn.
S mondd, az apám hogyan él, s akit otthon hagytam, a gyermek;	Mẹ bất hạnh tương tự; đó cũng là lý do đưa mẹ xuống nấm mồ.
őrzi a termeidet most is: keserű siralomban	"Thân mẫu tiện nhân nói thế.
hervad az éjjele, nappala, hullnak a könnyei folyton.	Lòng khao khát khôn ngừng tiện nhân muốn ôm vong linh.
És a te szép méltóságod nem szállt soha másra,	Ba lần định ôm chằm tiện nhân tiến tới.
mert mind meghívják. Hanem édesapád a tanyáján	Tiện nhân hét to lời như có cánh bay xa: ‘Mẹ!
teng odakinn, sose megy városba.	Sao chạy đi không đợi?
Bánatosan fekszik, szive mélyén gyásza növekszik,	Đó là luật nhân sinh khi thế nhân chấm dứt cuộc đời.
Szivemben az éles fájdalom erre	Tiện nhân hỏi tất cả.
Vagy csak egy árnykép ez, mit a fennkölt Perszephoneia	Vì thế nàng thường thơ thẩn trên bờ gần mặt nước yêu kiều.
mindezeket megemészti a tűz, lobogó erejével, rögtön amint a fehér csontok közül életük elszáll,	Trao tình xong cầm tay nàng thần linh căn dặn: ‘Giai nhân, hãy vui hưởng tình yêu giữa đôi ta.
mindezeket, hogy majd elmondhasd Pénelopénak."	Bây giờ ra về, nhớ giữ miệng, không kể tên ta!
ő elmondta, hogy apja a tisztanevű Szalmóneusz,	Do đó nàng có hai con trai: Amphion và Zethos.
hol bíbor hullám hegyoromként dombosodott föl,	"Tiếp theo tiện nhân thấy thân mẫu Oedipus, Epikaste diễm lệ.
És miután a szerelmet eként befejezte az isten,	Sau khi giết cha Oedipus lấy mẹ.
büszkén mondta, hogy ő Kroniónnak karja között hált,	Chỉ có một người, thầy đoán thiên phú, dám liều mạng.
asszonya volt, és szülte oroszlánszívü vitézlő	Như vậy là ý định Chúa tể thực thi đầy đủ."
és így vette el; ámde az istenek ezt fölfedték.	Sau Leda tiện nhân thấy Iphimedia, phu nhân Aloeus.
lóbetörő Kasztórt, s az ökölvívó Polüdeukészt;	Vì trước khi tiện nhân chấm dứt, đêm kỳ diệu trôi qua.
Ennekutána Alóeusz asszonya, Íphimedeia,	Odysseus ngừng nói.
s leggyönyörűbbre, utána a nagynevü Óríónnak.	Vẻ mặt tuấn tú, vóc dáng đường bệ, tác phong đĩnh đạc!
És a kilencedik évben már ugyanannyi könyök volt	Ông là khách lạ của ta, song vinh dự thuộc về chư khanh.
"Kedveseim, nem céltalanul, nem várakozásunk ellen szólt a királynő elmés szózata; rajta,	Tuy nhiên, nếu quả thực Hoàng thượng muốn nghe nữa, tiện nhân nào dám thoái thác.
így tegyetek.	Than ôi!
jóevezős nép közt élek s kormányozom őket;	Kể chuyện bi thảm hơn chuyện vừa kể.
fényes ajándékokkal hogyha kiséretet adtok;	Đương sự bước tới buồn thảm thiết.
"Alkinoosz, nagyuram, népednek legjelesebbje,	Bản nhân chấm dứt cuộc đời thê thảm!
törvényes férjét ki megölte.	Penelope đoan chính, tiết liệt!
érkezem egykor meg: s ez a legszörnyebb gonosz asszony	Nàng ôm trên ngực con mới chào đời.
Így szólt ő; mire én így adtam néki a választ:	Cầu mong nó sung sướng ở đời!
"Éppenezért nődhöz te se légy túl kedves ezentúl	Bởi thế bản nhân có lời khuyên nhủ, nhớ nằm lòng.
és sose mondd el, amit tudsz, többé néki egészen:	Khi tới quê hương xứ sở đừng dong buồm vào thẳng bến đậu.
egy részét mondd csak, de sokat titkolj el előle.	Trái lại, bí mật, lẳng lặng lại gần.
mert ennél okosabb, és jobban is érti a dolgát	Bởi đừng bao giờ tin tưởng đàn bà.
látásával a két szemem: engem előbb teritett le.	Bản nhân không rõ nó còn sống hay chết rồi.
Mást mondok neked én, te pedig vesd jól a szivedbe:	Nói vu vơ không nên không phải chút nào.’"
rejtve, ne nyíltan térj bárkáddal a drága hazába, úgy köss ott ki, hisz asszonyban már senkise bízhat.	"Ngô bối cứ đứng mặt đối mặt trao đổi câu nói buồn thảm, nước mắt tuôn đậm gò má.
Orkhomenoszban tán, a baráti Pülosz fövenyén él,	Vong linh Achilleus, bước chân thoăn thoắt, nhận ra tiện nhân.
jaj, te szegény, mit nem fogsz még kieszelni nagyobbat?	Nhưng thôi, bây giờ nói ta hay đôi điều về con ta.
Így szóltam; mire ő így adta azonnal a választ:	Ta không hay tin gì về Peleus siêu quần.
Szólj a derék Péleuszról is, ha talán valamit tudsz:	Khi tranh luận ta nghĩ chỉ có Nestor khả ái và ta hơn nó.
Szkűroszból a remeklábvértes akháj seregekhez.	Nó hạ sát nhiều kẻ thù trong đụng độ khủng khiếp.
ez megesik sokszor, hisz Arész sose nézi, hol őrjöng."	Con cái người Troian và Pallas Athena làm trọng tài quyết định.
hagysz a haraggal föl, melyet ellenem érzel az átkos	Nhưng thôi, lại đây nghe ta nói đôi điều.
fegyverekért?	Ô, đáp lời ta nói!
szűntelenül siratunk téged.	"Tiện nhân nói thế.
Láttam még Titüószt, a magasztos Gaia fiát is,	Hăm hở định uống hễ lão cúi xuống nước biến tức thì.
képmását: hiszen ő maga él örök isteneink közt,	Vừa nhìn Herakles nhận ra tiện nhân tức khắc.
jaj, te szegény, bizonyára olyan rossz sors az, amit tűrsz,	"Không nói nữa đương sự quay vào tư thất Diêm Vương.
Én Kronión Zeusznak voltam fia, csakhogy a kínom végtelen és csúf volt: nálam sokkal ki silányabb,	Tiện nhân vẫn nấn ná đứng đó hy vọng gặp người quá cố tiếng tăm qua đời từ lâu.
én pedig ott álltam s vártam, hogy hátha előjön	Tiện nhân thất kinh, mặt mày tái mét.
Gyorsan a fürge hajóhoz eredve, parancsot is adtam:	Họ lên boong cấp kỳ, ngồi vào chỗ cầm chèo.
A SZÍRÉNEK	Khúc 12
Mindezt sorban elintéztük; Kirké maga látta,	Ngô bối thực hiện lễ nghi đầy đủ.
szálltok a fürge hajón; az utat pedig én jelölöm meg	Sớm mai Rạng Đông xuất hiện các người sẽ ra khơi.
Így az egész napon át ott ültünk napnyugovásig	"Ngô bối ngoan ngoãn làm theo.
mit mondok neked én; noha majd maga isten is int rá.	Rồi ra chàng sẽ gặp mấy Seirèn.
Szírénekhez fogsz legelőször elérni: az összes	Yêu nữ mê hoặc bất kể thế nhân nào lại gần.
minden társadnak, nehogy egy is hallja; puhítsd meg mézédes viaszod; de te hallgasd meg, ha kivánod.	Nếu chàng năn nỉ, hối thúc cởi trói, tay chèo phải lấy thêm dây cột kỹ hơn nữa.’"
tudd: ezeket Bolygó Szikláknak hívja a boldog	Thuyền tới đó không bao giờ qua nổi.
elhírhedt Argó, Aiétésztól hazatartó.	Một đường sừng sững hai mỏm đá.
Másik irányban két nagy szirt van: a tágterü égbe	Mỏm này đỉnh nhô nhọn hoắt lên bầu trời xanh thẫm.
És közepén barlang tátong sürü ködbe takartan,	Odysseus lừng danh, chàng sẽ phải lái thuyền rỗng không qua đó.
Benne a szörnyen ugatva üvöltő Szkülla tanyázik.	Skylla ở trong đó cất tiếng kêu khủng khiếp.
Inkább Szkülla felé igyekezz a hajóddal, evezz el	Cầu mong khi nó nuốt nước, chàng xa nơi này.
gyorsan a szirtje alatt, mert többhasznú, ha a bárkán hat társat gyászolsz majd, mint együtt valamennyit."	Bởi lúc đó ngay cả thần linh rung chuyển trái đất cũng bó tay không thể cứu chàng thoát hiểm.
Így szóltam; s ezt mondta azonnal az isteni asszony:	Thà mất sáu tay chèo còn hơn mất tất cả."
Az megfékezi majd, nehogy újra terád támadjon. Thrínakié szigetére kerülsz most: Éeliosznak	Chàng vẫn chưa sẵn lòng cúi đầu, lùi bước, quy thuận thần linh bất tử phải không?
