HUGO VICTOR	Victor Hugo
A Winterton-fok viharos vidékén Hamilton kapitány parancsnoksága alatt hasonló emelő müvelettel menekült meg a félelmes Brannodu-um-sziklán való hajó­töréstől a Royale-Marie, noha ez csak skót mintáju fregat volt.	Trong vùng biển hiểm trở quanh mũi Uyntơtơn, và dưới sự chỉ huy của thuyền trưởng Hamitơn, chính nhờ một cú đòn bẩy tương tự vào ngọn núi Branođu - Um rùng rợn mà tàu Royan - Mari thoát khỏi đắm, mặc dầu nó chỉ là một chiến hạm hạng nhì kiểu Êcôx.
Igyekezni a metszőirányból áttérni az érintőirányra, ez a hajótörés kikerülésének egész titka.	Cố chuyển từ đường cát tuyến sang đường tiếp tuyến, toàn bộ bí quyết tránh đắm là ở đó.
Ezt a szolgálatot tette a hajónak a gerenda.	Thanh gỗ ốp đã giúp con thuyền trong việc ấy.
E mentőmüveletet egyszer végrehajtották, de nem kezdhették volna ujból.	Nhưng một khi thủ đoạn giải thoát thực hiện xong, người ta không thể diễn lại.
A dorong a tengeré lett.	Thanh sà rơi xuống biển.
Ki­bontani egy másik bordát annyi lett volna, mint meglazitani a szerkezetet.	Tháo gỡ một thanh sà khác tức là phá toang cả sườn tàu.
Az orkán elragadta a Matutinát.	Phong ba lại cuốn chiếc Matutina đi.
A Casquet-szirtek azonnal haszontalan omladéknak látszottak a láthatáron.	Tức thì bãi Caxkê giống như một vật trở ngại vô ích ở chân trời.
Semmin se látszik meg annyira a zavarodottság, mint egy szirten ilyen alka­lommal.	Không gì có vẻ ngỡ ngàng lúng túng như một tảng đá ngầm ở trường hợp như thế.
A természetben, az ismeretlen oldalánál, ahol a látható keveredik a láthatatlannal, vannak ilyen mogorva és mozdulatlan képek, amelyek olyanok, mintha a kisiklott zsákmány miatt méltatlankodnának.	Trong thiên nhiên, trong vô định, nơi cái hữu hình bị cái vô hình làm cho thêm phức tạp, có những hình dáng cau có bất động dường như tức giận vì một miếng mồi phải nhả.
Ilyenek voltak a Casquet-sziklák is, miközben a Matutina elszökött.	Bãi Caxkê trong lúc thuyền Matutina trốn chạy là như vậy.
A világitótorony hátrált, homályosodott, halványult és végül elenyészett.	Ngọn hải đăng lùi dần, tái mét xanh nhợt, rồi biến mất.
A sugarak eloszlottak az elázott végtelenségben.	Sức phát quang loãng ra trong bao la ẩm ướt.
A máglya gyertyavéggé lett, már csak halványuló, bizonytalan remegés volt.	Dàn lửa, trở thành hoa đèn, lúc này chỉ còn là một ánh lửa bập bùng, le lói, mơ hồ .
A világosság megsemmisülése az éjszaka mélyén.	Xung quanh một vùng ánh sáng tan chảy rộng dần.
De mégis borzasztó volt, amikor e két fenyegetés megszünt.	Một bên là tiếng nói, một bên là bó đuốc.
Nélkülük már csak a mélység maradt meg.	Mất chúng rồi, chỉ còn vực thẳm.
A bárka még a megmérhetetlen sötétségben is árnyékban találta magát.	Chiếc thuyền con lại chìm ngập trong bóng tối mù mịt vô biên.
A hosszuságban való himbálózás a küzdelem vonaglása.	Rập rình chiều dọc là cảnh quằn quại trong chiến đấu.
Csak kormánylapáttal lehet állva fogadni a szelet.	Chỉ tay lái mới có thể chịu được gió ngược.
A Casquet-szirtektől megszabadulni, a sziklát kikerülni... a hajótöröttek győzelme nagy volt.	Thoát khỏi bãi Caxkê, tránh được bãi ngầm, đối với lũ người bị đắm đã là một chiến thắng rồi.
De bámulásuk még nagyobb.	Nhưng là một sự kinh hoàng.
Most nem kiáltottak hurraht; a tengeren nem követnek el kétszer az emberek ilyen oktalanságot.	Họ không dám reo hò; ở biển khơi không ai phạm những dại dột như thế hai lần.
Sulyos dolog kihivást vetni oda, ahová mérőeszközt sem mernek dobni.	Khiêu khích cái khôn dò là điều nghiêm trọng.
Nincs olyan kétségbeesés, amely, még a legválságosabb pillanatokban is, ne látná a kifejezhetetlen mélységben fehérleni a remény hajnalát.	Không có nguy khốn nào, ngay trong giây phút hiểm nghèo nhất, trong chốn tận cùng của nó, lại không nhìn thấy sáng lên niềm hy vọng khó tả.
Ezek a szerencsétlenek nem kivántak jobbat, csak bevallhassák maguknak, hogy megmenekültek.	Những con người bất hạnh kia không đòi hỏi gì hơn là tự nhận rằng mình đã được cứu thoát.
De valami iszonyu tömeg emelkedett ki az éjszakából.	Trong thâm tâm họ đang lắp bắp điều đó.
Balról egy magas, sötét, függőleges, szögletes tömeg rajzolódott a háttérre, kiemelkedvén a ködből, mint a mélység szögletes tornya.	Bên mạn trái nổi lên, rõ mồn một trên nền sương mù, một khối mờ đục cao ngất, sừng sững, vuông góc, một ngọn tháp vuông của vực thẳm.
Szájtátva bámultak rá.	Họ há hốc mồm ra nhìn.
Az Ortach-szikla volt.	Chính là hòn Ortasơ.
XIV.	14.
Ortach.	ORTASƠ
A Casquet-k után az Ortach.	Sau Caxkê đến Ortasơ.
A sötétség kimerithetetlen.	Tăm tối không biết kiệt quệ.
Álnokságának és kelepcéinek soha sincs vége.	Nó không bao giờ hết cạm bẫy và phản trắc.
De ő a tehetetlenség komor megvetésével csak a vállát vonhatta.	Hắn chỉ có thể nhún vai, một thái độ khinh bỉ buồn rầu của bất lực.
A hajók és a hullámok megtörnek rajta.	Sóng to và tàu thuyền gặp nó đều tan vỡ.
Ez várja viharban a bárd csapását, a mennydörgést.	Trong bão táp nó chờ đợi nhát rìu là sấm sét.
De hózivatarban soha nincs mennydörgés.	Nhưng trong bão tuyết lại không bao giờ có sét.
A szerencsétlenek, akik egy pillanatig azt hitték, hogy megmenekültek, ujra aggo­da­lom­ba merültek.	Những con người bất hạnh, đã một lúc tưởng được cứu thoát giờ đây lại hồi hộp lo lắng.
A hajótörés, amelyet már egyszer maguk mögött hagytak, ujra megjelent előttük.	Cảnh đắm thuyền mà họ đã bỏ lại phía sau, giờ đây lại hiện ra trước mắt.
A szirt ujra kiemelkedett a tenger mélyéből.	Đá ngầm lại từ đáy biển nhô lên.
Hajótörés a Casquet-n, az összetörés; hajótörés az Ortachon, az összemorzsolódás.	Đắm ở Caxkê thì bị rách tả tơi, đắm ở Ortasơ thì bị nghiền nát vụn.
De egy lehetőségük mégis volt.	Tuy vậy vẫn còn một điểm may mắn.
A meredek falakról - az Ortach meredek volt - a hullám épp ugy nem pattanhat vissza, mint a golyó.	Trên những mặt phẳng, mà Ortasơ là một, sóng không hơn gì đạn cối nó không nẩy thia lia.
Mint hullám érkezik és mint ár tér vissza.	Sóng đến thì mạnh sóng hồi thì êm.
A hajótöröttek a félhomályban észrevették a nagy sorsdöntő hullámot, amely feléjük közeledett.	Lũ người lâm nạn nhìn thấy trong bóng tối chập chờn ngọn sóng to quyết định đang tiến đến trước mặt.
Meddig fogja őket vinni?	Nó sắp kéo họ đi đâu?
Ha a hullám megtörik a hajón, akkor a sziklához taszitja és összetöri.	Nếu sóng quật vào thuyền, họ sẽ bị cuốn lăn vào núi và tan xương.
A hullám elment a hajó alatt.	Ngọn sóng lòn qua đáy thuyền.
Mit csinál velük a visszaverődés?	Ngọn sóng nhào sẽ làm gì họ đây.
A visszatérő hullám elsodorta a hajót.	Ngọn sóng nhào cuốn họ ra.
Néhány perccel később a Matutina kivül volt a veszedelmes környéken.	Mấy phút sau thuyền Matutina đã ở ngoài tầm nước của bãi ngầm.
Az Ortach el­enyé­szett, mint ahogy a Casquet-k elenyésztek.	Ortasơ cũng khuất dần như Caxkê đã mờ khuất.
Ez volt a második győzelem.	Đó là chiến thắng thứ hai.
Másodszor ért a bárka a hajótörés szélére és még idejében meghátrált.	Lần thứ hai chiếc thuyền con đã sắp đắm đến nơi và đã lùi lại đúng lúc.
XV.	15.
Portentosum mare.	PORTENTOSUM MARE
Alig láttak néhány kötélnyire a hajó körül.	Họ chỉ nhìn thấy lờ mờ vài tầm quanh thuyền.
A jégeső dacára, mely valósággal megkövezte őket és kényszeritette, hogy lehajtsák a fejüket, az asszonyok nem akartak visszatérni a fülkébe.	Mặc dầu mưa đá ào ào buộc tất cả họ phải cúi đầu, mấy mụ cũng nhất định không chịu xuống cabin.
Nincs oly kétségbeesett ember, aki nem szabad ég alatt kivánja a hajótörést.	Không một kẻ thất vọng nào lại không muốn chết đắm giữa trời.
Ilyen közel a halálhoz, ugy érzi, hogy a fölötte lévő mennyezet már kezdete a koporsónak.	Họ gần cái chết đến nỗi thấy có trần trên đầu là thấy mở đầu cho cỗ áo quan.
A mindig jobban korbácsolt hullámok most rövidebbek lettek.	Sóng, mỗi lúc một căng phồng, đã ngắn hẳn lại.
Az ár földuzzadása valamilyen összeszorulást jelez; ködös időben a viz bizonyos ráncai tengerszorost jelentenek.	Sóng ứ là dấu hiệu của tắc nghẹn; trong sương mù, có những quầng nước báo hiệu có một eo biển.
Nyugaton az Ortach és a Casquet-sziklák, keleten pedig Aurigny között a tenger körülzárt és összenyomott és ezt az állapotát ezen a helyen a vihar okozta.	Giữa Caxkê với Ortasơ ở phía tây, với Ôrinhi ở phía đông, đều bị thắt lại, bị ngăn chặn, và chỗ nào biển khó chịu thì chỗ đó gây nên bão táp.
A tenger épp ugy szenved, mint akármi más; és ahol szenved, ott ingerlékeny.	Biển cũng đau đớn như mọi thứ khác; chỗ nào biển đau thì biển nổi giận.
Ez a szoros igen veszedelmes.	Eo biển ấy rất dễ sợ.
A Matutina benn volt a szorosban.	Thuyền Matutina đang nằm trong eo biển đó.
Képzeljük el a viz alatt egy teknősbéka teknőjét, mely olyan nagy, mint a Hyde-Park vagy a Champs-Elysées és melynek minden csikja zátony és minden domborodása szirt.	Ta hãy tưởng tượng ở dưới một cái mu rùa to như Haiđơ Pae hay Săng-Êlidê, mà mỗi rãnh là một hũng sâu và mỗi chỗ bướu là một chỏm núi.
A tenger betakarja és elrejti ezeket a hajótörőkészülékeket.	Biển cả trùm lên và che kín cái bẫy đắm tàu đó.
A tengeralatti szirtek e teknője fölött a fölkorbácsolt hullám szökdel és tajtékzik.	Trên cái mu toàn đá ngầm đó, sóng bị xé nhỏ, nhảy nhót và sủi bọt.
De hirtelen megértették.	Rồi đột nhiên họ hiểu ra.
Valami sápadt világosság támadt az égen, kevés fehérség terjedt szét a tengeren, ebben az ólomfényben láthatóvá lett balról egy hosszu torlasz, mely felé rohant a szél, maga előtt kergetve a hajót.	Một khoảng trời nhợt nhạt xuất hiện trên thiên đỉnh, một chút mờ xanh tản mạn trên biển cả, cái màu xanh nhợt đó để lộ ra ở mạn bên trái một cái đập chắn ngang phía đông, và gió đuổi thuyền đi đang ào ào thổi vào đó.
Ez a torlasz Aurigny volt.	Cái đập ấy là Ôrinhi.
De még sokkal jobban remegtek volna, ha egy hang azt feleli a kérdésre: Aurigny.	Họ còn run hơn nữa nếu có tiếng trả lời họ: Ôrinhi.
Nincs sziget, melynek jobb védelme lenne az emberek látogatása ellen, mint Aurignynek.	Không một hòn đảo nào được bảo vệ để chống con người thâm nhập như Ôrinhi.
Igen, a szirtek fajtájából.	Phải, thuộc loại đá ngầm.
A hajótörés a tehetetlenség ideálja.	Chìm đắm là chỗ tận cùng của bất lực.
Közel vannak a földhöz és el nem érik, lebegnek, de nem evezhetnek, lábukkal valamin állnak, mely szilárdnak látszik, de törékeny, egyszerre tele vannak élettel és halállal, rabok a végtelenségben, fal veszi körül őket az ég és az Oceán között, a végtelenség ugy veszi körül őket, mint a tömlöc, körülöttük a szellők és a hullámok mérhetetlen terjedését nézik megkötözve, megbénulva, ez a leverő érzés megdöbbent és megszégyenit.	Gần đất liền mà không đến được đất liền, nổi lềnh bềnh mà lại không chèo không lái được, đặt chân lên một vật có vẻ chắc chắn mà lại mong manh, cùng một lúc tràn đầy sức sống và chết chóc, là tù nhân giữa trời biển bao la, bị bao vây giữa trời mây và biển cả, mang trên người cả cái vô cùng như một hầm tối, quanh mình là gió lộng và sóng nước mông mênh vì bị tóm chặt, trói gô, liệt vị, cái cảnh hành hạ đó khiến phải sừng sờ và phẫn nộ.
Ugyanaz tart fogva, ami szabaddá teszi a madarakat és függetlenné a halakat.	Cái giam giữ anh chính lại là cái tháo bỏ cho chim cá được tự do bay lội.
Tölts tele egy poharat viharral, csak egy kis keserüség lesz.	Hãy múc đầy cốc thứ bão táp đó, nó chỉ là một mớ đắng cay.
Egy korty belőle émelygés, egy hullám belőle pusztulás.	Ngụm nước, đó là sự ghê tởm; sóng biển, đó là sự tuyệt diệt.
A homokszem a pusztában, a habpehely az Oceánban ennek széditő bizonyitékai; a mindenhatóság nem fárad azzal, hogy elrejtse atomjait, erővé teszi a gyöngeséget, megtölti egész valójával a semmiséget és a végtelenül nagy a végtelenül kicsivel sujt le reánk.	Hạt cát trong sa mạc, chút bọt sóng của đại dương là những hình ảnh choáng ngợp; toàn năng không cần che giấu hạt nguyên tử của mình, nó lấy cái yếu làm sức mạnh, nó lấp đầy hư không bằng cái toàn thể của nó, và cái lớp vô biên nghiền nát anh bằng chính cái nhỏ vô cùng.
A Matutina kissé följebb volt Aurignynál, ami kedvező volt; de az északi csucs felé tévelyeg­tek, ami végzetessé lehetett.	Thuyền Matutina ở phía trên Ôrinhi một tí, đó là điểm thuận lợi; nhưng trôi giạt đến mũi bắc thì rất nguy hại.
