A nap lenyugodni készült a nyugati láthatáron kirajzolódó dombok mögött.	Mặt trời sắp lặn đằng sau những quả đồi phía tây.
Kihez is tartozott a sziget történetünk kezdetén?	Chưa thể có được một kết luận rõ rệt.
Csak annyit lehet biztosan állítani, hogy a Magellán-szigettenger része volt, melyen akkor még nem osztozott meg Amerika két legdélibb állama.1	Tất cả những gì có thể nói được chỉ là: đảo nằm trong quần đảo Magellan, lúc đó còn là lãnh thổ chung của hai nước Cộng hòa nằm ở vùng cực nam châu Mỹ này.
Ami a kereskedelmi hajókat illeti, nagy részük a rendkívüli pontossággal feltérképezett Magellán-szorost választja, amelyen a gőzhajózás fejlődésének köszönhetően - egyforma biztonsággal haladhatnak akár keletnek, akár nyugatnak a két óceán között.	Còn đối với những tàu buôn lớn, đa số chọn con đường đi qua eo biển Magellan, con đường này đã được vạch rõ ràng trên các bản đồ hàng hải và họ có thể đi theo mà không sợ gặp bất trắc dù là đi từ hướng đông sang, hay từ hướng tây lại.
Csak azok a hajók kerülnek az Államok-sziget felé, amelyek a Horn-fokot készülnek megkerülni, illetve amelyek onnan jönnek.	Chỉ có những con tàu chọn con đường đi qua mũi Horn là hay ghé lại đảo Đa Quốc gia này.
Az Államok-sziget világítótornya kétségtelenül nagy segítséget nyújthatott a hajósoknak ezen a zord környéken.	Ngọn hải đăng nơi tận cùng trái đất ấy sẽ mang lại những lợi ích hiển nhiên cho tàu bè qua lại ở nơi có địa hình nguy hiểm này.
Még a Horn-fokon sincs világítótorony, így az itteni annál több szerencsétlenséget előzhetett meg, hiszen az Atlanti-óceán felől érkező hajók nagyobb biztonsággal futhattak be a Le Maire-szorosba.	Trên mũi Horn cũng không có hải đăng, vì vậy ngọn hải đăng sắp xây dựng trên đảo Đá Quốc gia có thể tránh cho các tàu bè nhiều thảm họa khi đi từ Thái Bình dương qua eo biển hẹp Lemaire.
Az argentin kormány elhatározta tehát, hogy megépíti ezt a világítótornyot az Elgor-öbölben.	Vậy là chính phủ Argentina quyết định xây dựng ngọn hải đăng ở cuối vịnh Elgor.
Egyévi jól szervezett munka után 1859. december 9-én adták át az építményt.	Sau một năm tích cực thi công, lễ khánh thành ngọn đèn biển đã được tổ chức vào ngày mùng 9 tháng Chạp năm 1859.
Százötven méterre az öblöt lezáró betüremkedéstől egy négy-ötszáz négyzetméternyi felszínű, harminc-negyven méteres magaslat volt.	Cách vùng nằm cuối vịnh khoảng trăm rưỡi mét có một khu đất cao diện tích gần năm trăm mét vuông, độ cao của khu đất khoảng gần bốn chục mét.
Kőfal vette körül a dombot, s ez a sziklaterasz szol­gált a világítótorony alapzatául.	Một bức tường đá ong bao quanh khu đất đó, chính giữa khu đất sẽ là nền móng của tháp hải đăng.
A torony a szálláshelyül és raktárként szolgáló toldaléképület fölé magasodott.	Xung quanh tháp đèn các công trình phụ như nhà ở và nhà kho sẽ được xây dựng.
Az épületben öt helyiség volt.	Toàn thể công trình phụ gồm:
Ezek voltak tehát azok az építmények, amelyek félkör alakban körbevették a töltésen a tornyot.	Tháp đèn vô cùng chắc chắn, được xây dựng bằng chính các vật liệu trên đảo.
A torony harminckét méter magas volt, és hozzáadva a sziklaterasz magasságát is, a jelzőfény a tengerszint felett kétszázhuszonhárom lábra világított.	Chiều cao của tháp đèn là ba mươi hai mét và nếu tính cả độ cao của khu đất nữa thì ngọn đèn sẽ vươn lên cao hơn mặt biển là khoảng bảy mươi mét.
Ebben az időben a világítótornyok még nem széngázzal vagy elektromos árammal működtek.	Vào thời kỳ này, chưa có các hải đăng hoạt động bằng khí đốt hay điện khí.
Különben is, e távoli szigeten, melynek körülményes volt az összeköttetése a legközelebbi államokkal is, önként adódott a legegyszerűbb és legkevésbé javításigényes megoldás: az olaj­világítás, amelyet a korabeli tudomány és ipar legkorszerűbb vívmányaival tökéletesítettek.	Với vị trí của một hoang đảo xa xăm, mọi liên lạc với đất liền đều khó khăn, thì phải chọn cách đốt nào đơn giản và ít đòi hỏi sửa chữa nhất; và người ta đã chọn phương pháp đốt đèn bằng dầu với tất cả các cải tiến mà khoa học cũng như nền công nghiệp thời đó cho phép.
Mindent egybevetve, ez a tízmérföldes hatósugár elegendő volt.	Tóm lại, tầm xa mười hải lý của đèn là vừa đủ.
A San Juan-fokot és a Several - vagy a Fallows - földnyelvet idejében meg tudták így kerülni - az előbbit bal, az utóbbit jobb felől - anélkül, hogy a szél vagy az áramlatok a sziklákhoz csapták volna a hajót.	Ngoài ra, trong những trường hợp rất hiếm hoi mà các tàu thuyền gặp phải, đó là những khi tàu cần vào neo đậu trong vịnh Elgor, lúc đó hải đăng sẽ giúp tàu vào vịnh dễ dàng.
Ezenkívül, ha nagy ritkán egy hajó az Elgor-öbölben kényszerült volna kikötni, minden esélye megvolt, hogy a toronyfény irányában horgonyzóhelyhez jusson.	Trong trường hợp trở về đất liền của chiến hạm Santa-fé đã nói trên, nó có thể rời cái vũng nhỏ ngay trong ban đêm.
Egykor a világítótornyokat parabolatükrökkel látták el, amelyeknek az volt a nagy hátrányuk, hogy a kibocsátott fénynek legalább a felét elnyelték.	Ngày trước, các hải đăng thường dùng những chiếc gương lõm làm bộ phận phản quang, như thế rất bất tiện vì gương hấp thụ gần một nửa lượng ánh sáng phát ra.
Ekkoriban már fénytörő tükröket kezdtek el használni, amelyek a lámpák fényerejét csak nagyon kis mértékben gyengítették.	Giờ đây người ta đã thay bằng các loại kính khúc xạ để tập trung ánh sáng; và với kính này chỉ một phần rất nhỏ ánh sáng bị mất đi.
Magától értetődik, hogy a világvégi világítótorony mozdulatlan fényt szolgáltatott.	Dĩ nhiên là ngọn hải đăng nơi cuối trời có một chùm sáng cường độ không đổi.
Nem kellett attól tartani, hogy egy hajóskapitány összetévesztheti valamilyen más fényforrással, már csak azért sem, mert ezen a környéken nem is volt, sőt, ahogy már említettük, még a Horn-fokon sem.	Cũng không sợ có viên thuyền trưởng nào lại lầm nó với một nguồn sáng khác, bởi vì suốt dọc bờ biển này, kể cả ở mũi Horn nữa, không nơi nào có hải đăng.
A fényszóró kettős szellőzésű lámpákkal volt felszerelve, amelyekben a lámpabelek körkö­rösen helyezkedtek el.	Muốn thế lại phải làm thêm các cơ phận phụ, vừa cồng kềnh, vừa khó sửa chữa.
Ami a fényszóró belsejében lévő fénytörő szerkezetet illeti, az egy lencsesorozatból állt, amelyet egy szokásos alakú központi üveg és körülötte egy sor közepes vastagságú gyűrű alkotott; az utóbbiak alakja olyan volt, hogy közös gyújtópontjuk legyen.	Còn hệ thấu kính được cấu tạo bởi những thấu kính sắp theo hình bậc thang phần trung tâm có hình dạng bình thường, nhưng bao quanh nó là những hình vành khuyên ghép lại để tạo thành một thấu kính và do đó chùm ánh sáng sau khi phản chiếu qua hệ thống này sẽ là một chùm tia sáng song song cực kỳ rõ.
Ilyen körülmények között a párhuzamos fénysugaraknak a lencserendszer mögül kibocsátott kévéje a lehető legjobb látási viszonyokat biztosítva hagyja el a szerkezetet.	Hôm tàu rời đảo, thời tiết lại tốt nên viên thuyền trưởng có thể xác nhận là vị trí của ngọn đèn cũng như vận hành của đèn không cần phải điều chỉnh điểm nào nữa cả.
Az ágyúnaszád parancsnoka, aki viszonylag tiszta időben hagyta el a szigetet, megállapíthatta, hogy az új világítótorony telepítésében és működésében semmi kifogásolnivaló nem található.	Rõ ràng là đèn hoạt động tốt phụ thuộc hoàn toàn vào tính chính xác và sự chăm sóc kỹ lưỡng của đội gác đèn, miễn là bảo trì đèn cho tốt.
Szigorú feltételeknek kellett megfelelniük, hogy éppen őket válasszák ki a nagyszámú jelentkező közül, de korábbi beosztásukban mindhárman bizonyították már lelkiismeretes­ségüket, bátorságukat és kitartásukat.	Sau một cuộc tuyển lựa gắt gao giữa một số lớn các ứng cử viên, cả ba người qua những nhiệm vụ đã được giao trong quá khứ, họ đã chứng tỏ được lòng tận tâm, sự can đảm và sức chịu đựng của mình.
Felesleges megismételnünk, hogy bár az Államok-sziget igen távol, ezerötszáz mérföldnyire volt Buenos Airestől, s máshonnan nem érkezhetett élelem vagy segítség, a három toronyőr mégis teljes biztonságban érezhette magát.	Cũng không phải là vô ích khi nhắc lại điều này: tổ gác đã được bảo đảm an toàn mặc dầu hòn đảo Đa Quốc gia này ở rất xa bờ, nó cách Buenos Aires ngàn rưỡi hải lý là nơi duy nhất có tàu tiếp tế đi ra đảo.
Miután befejezik a halászatot, sietve visszatérnek a Le Maire-szoroson át a Tűzföld partvidékére, vagy valamelyik szigetre.	Sau khi đánh cá xong, họ gấp rút băng qua eo biển Lemaire để về lại Đất lửa hoặc là tới những hòn đảo khác trong vùng.
A hajósok túlságosan is tartottak a sziget partjaitól; biztonsá­gosabb és könnyebben megközelíthető menedéket találhattak a Magellán-szigettenger más pontjain.	Bờ biển của đảo quá hiểm trở nên không thuyền bè nào dại dột vào đây để tìm chỗ ẩn náu trong khi có rất nhiều chỗ tốt hơn ở trong vùng Magellan này.
Mégis megtettek minden óvintézkedést arra az esetre, ha gyanús alakok vetődnének az Elgor-öbölbe.	Tuy nhiên, người ta cũng đã đề phòng trong trường hợp có người lạ xâm nhập vịnh Elgor.
A toldaléképületet belülről zárható vastag ajtók védték, és nem lehetett volna betörni a lakóhelyiség és a raktárak ablakaira erősített rácsokat sem.	Các công trình xây dựng phụ của ngọn hải đăng đều có cửa rất chắc chắn luôn được khóa ở bên trong và cũng không ai có thể phá được những tấm lưới chắn các cửa sổ.
Ezen kívül Vásqueznek, Moriznak és Felipének több puska és pisztoly állt rendelkezésére, és töltényben sem szenvedtek hiányt.	Ngoài ra, tổ gác còn được trang bị súng các-bin, súng lục với đầy đủ đạn dược.
Végül a torony lábához vezető folyosó végére vasajtót állítottak be, melyet nem lehetett volna betörni vagy szétzúzni.	Sau cùng, ở cuối hành lang dẫn đến chân tháp đèn, người ta có làm một cửa sắt vô cùng kiên cố.
S hogyan is lehetett volna másképp a toronyba bejutni, hiszen még a csigalépcső keskeny lőréseit is szilárd keresztvasak védték, a fényszórót körülvevő kör­fo­lyosót pedig legfeljebb a villámhárító földelőhuzalján felmászva lehetett volna csak elérni?...	Còn như nếu có ai đó muốn xâm nhập tháp đèn bằng lối khác thì làm sao họ có thể chui qua những lỗ châu mai đục dọc theo cầu thang đã được những thanh sắt xây chắn bên ngoài.
Ezek voltak tehát azok a rendkívüli jelentőségű munkálatok, amelyeket az argentin kormány felügyelete alatt vittek végbe az Államok-szigeten.	Còn nếu muốn vào bằng ngã hành lang vòng bên ngoài đèn thì lại bị chắn bởi những sợi dây chắn bảo vệ cột thu lôi.
De - ha a két óceán felől jövő óriási hullámokat nem is törheti meg vagy csitíthatja el semmi -, legalább a légköri viszonyok kiegyensúlyozottak, és az ezt megzavaró, nagy magasságba elérő viharok csak átmenetiek.	Nhưng nếu như những cơn cuồng phong đến từ hai đại dương vẫn chưa chịu lắng dịu đi thì ít ra thời tiết cũng bớt khắc nghiệt và nếu như vẫn còn gió bão thì cũng chỉ là những trận bão thoáng qua mà thôi.
A gőzhajók és vitorlások szívesebben vállalkoznak ebben a csendesebb időszakban arra, hogy a Horn-fok körül kerüljék meg az Újvilágot.	Những chiếc tàu thủy chạy bằng hơi nước và nhũng tàu chạy bằng buồm đã dám mạo hiểm đi vòng qua mũi Horn trong thời tiết dễ chịu này.
A világítótornyok életéhez hozzá tartozó monotóniát a toronyőrök maguk azonban alig érzékelik, hiszen őket azért lekötötte a szolgálat.	Tuy nhiên, sự đơn điệu ấy không dễ dàng nhận biết được từ phía những người làm việc thường trực ở đây.
Ezek az emberek általában tengerészek vagy halászok voltak valaha.	Đa số họ đều xuất thân là thủy thủ hay dân đánh cá.
Soha nem ültek ölbe tett kézzel, mindig találtak tennivalót, mulat­sá­got.	Họ không thuộc loại người cứ ngồi để đếm ngày, đếm giờ.
A szolgálat különben nem csak abból állt, hogy napnyugta és napkelte között biztosítsák a világítást.	Hơn nữa, công việc của họ không chỉ đóng khung trong việc duy trì ánh sáng của ngọn hải đăng từ tối đến sáng hôm sau.
