Vörös és fekete	ĐỎ VÀ ĐEN (Tập 1)
- Jőjjön, uram; de a porkoláb, különösen pedig a szegényházi felügyelők jelenlétében semmiféle megjegyzést se tegyen arra, a mit látni fogunk.	— Thưa ông, ông hãy đi với tôi, trước mặt viên cai ngục và nhất là trước mặt những viên giám thị viện tế bần, xin ông đừng tỏ lộ một tí ý kiến gì về những điều trông thấy.
A körút több óra hosszat tartott.	Cuộc tham quan đó lâu hàng mấy tiếng đồng hồ.
A plébános meghívta Appert urat, hogy ebédeljen nála, de ő kimentette magát, hogy leveleket kell írnia: nem akarta nemes kalauzát még rosszabb hírbe keverni.	Ông cha xứ mời ông Appert ăn cơm trưa, ông này nói thác rằng còn bận viết thư từ, ông ta không muốn làm rầy rà nhiều hơn nữa cho ông bạn đồng hành hào hiệp.
Három óra felé folytatták a szegényház megtekintését, azután visszamentek a börtönhez.	Khoảng ba giờ chiều, hai vị đó đi xem xét nốt viện tế bần, và sau đó trở lại đề lao.
- Ah, plébános úr, - szólt, mihelyt meglátta, - ez az úr nem Appert úr?	Thưa ông, hắn vừa chợt trông thấy ông cha xứ đã vội nói ngay, ông này cùng đi với ông, có phải là ông Appert không?
- kérdezte a lelkész.	Cha xứ nói.
- Mert tegnap egy lovasfutár, a kinek az egész éjszakát át kellett vágtatnia, szigorú parancsot hozott a préfet úrtól, hogy ne ereszszem be Appert urat a börtönbe.	— Là vì từ hôm qua tôi nhận được lệnh hết sức rành mạch do ông tỉnh trưởng cho một viên cảnh binh đưa đến, viên cảnh binh này phải phi ngựa suốt đêm, là không được cho ông Appert vào nhà đề lao.
- Vegye tudomásúl, Noiroud úr, - felelt a pap, ez az utas, a ki velem van, Appert úr.	— Ông Noiroud ạ, cha xứ nói, tôi tuyên bố với ông rằng ông khách này, cùng đi với tôi đây, chính là ông Appert.
Elismeri-e, hogy jogom van a nappal vagy az éjjel bármely órájában belépnem a börtönbe, annak a kiséretében, a kivel nekem tetszik?	Ông có thừa nhận điều này hay không, là tôi có quyền vào thăm đề lao bất cứ lúc nào, ngày cũng như đêm, và muốn dắt ai đi theo tùy ý?
- Igen, plébános úr, - szólt a tömlöcztartó csöndesebb hangon és lehajtva fejét, mint a buldog, melyet a bot félelme kelletlen engedelmességre kényszerít.	— Vâng, thưa cha xứ, viên cai ngục nói nhỏ giọng và cúi đầu như một con chó sợ đòn mà dằn lòng phải tuân lệnh.
- Csakhogy, plébános úr, én feleséges és gyermekes ember vagyok és ha följelentenek, elcsapnak, pedig én az állásomból élek.	Nhưng, thưa cha xứ, tôi có vợ con, nếu tôi bị phát giác thì người ta sẽ cắt chức tôi, tôi chỉ trông vào có việc làm này để sống.
- Én is sajnálnám elveszíteni az enyémet, - jegyezte meg meghatott hangon a plébános.	— Nếu tôi mất việc của tôi, thì tôi cũng phiền lòng lắm chứ, cha xứ nhân hậu đáp, bằng một giọng mỗi lúc một xúc động thêm.
- Oh, az nagy különbség!	— Khác nhau lắm!
- vágott közbe gyorsan a tömlöcztartó. - Mindenki tudja, hogy a plébános úrnak 800 livre évjáradéka van, biztos és független vagyona...	Viên cai ngục vội đáp, cha xứ ạ, cha, thì ai cũng biết là cha có 800 livre tiền niên kim, có của nổi chắc chắn...
Ime, ezek azok a tények, melyek húszfélekép kommentálva és túlzottan kiszínezve, két nap óta forrongásban tartották a kis Verrières város összes gyűlölködő szenvedélyeit.	Trên đây là những việc được người ta bàn tán, nói ngoa thêm bằng hai chục cách khác nhau, từ hai ngày hôm nay làm khởi động tất cả những mối hằn thù của cái thành phố nhỏ Verrières.
Ezúttal is ezek szolgáltatták a tárgyat ahhoz a beszélgetéshez, a mit de Rênal úr a feleségével folytatott.	Trong lúc này đây, những sự việc đó đang làm đề tài cho cuộc thảo luận nhỏ của ông de Rênal với vợ.
Reggel a polgármester úr Valenod úrral, a szegényház igazgatójával ott járt a plébánosnál, hogy kifejezze irányában élénk rosszalását.	Sáng hôm nay, có ông Valenod giám đốc viện tế bần đi theo, ông ta đã đến nhà ông cha xứ để tỏ cho ông này biết nỗi bất bình hết sức của ông.
Chélan úr nem számíthatott senkinek a védelmére; érezte tehát szavaik egész jelentőségét.	Ông Chélan, vốn chẳng có ai đỡ đần, cảm thấy tất cả tầm quan trọng của những lời lẽ của hai người kia.
- Nos hát, jól van, uraim.	— Thế thì, thưa ngài!
Én leszek a környéken a harmadik plébános, a kit nyolczvan éves korában elmozdítanak állásából.	Tôi sẽ là cha xứ thứ ba, tám chục tuổi đầu, bị cất chức ở vùng này.
Ötvenhat év óta vagyok itt; jóformán én kereszteltem meg minden lakosát ennek a városnak, mely kis helység volt még csak, a mikor ide jöttem.	Tôi ở đây đã được năm mươi sáu năm, tôi đã rửa tội cho hầu hết các cư dân của thành phố, hồi tôi mới đến chỉ là một cái thị trấn.
Naponta esketek oly fiatal párokat, a kiknek nagyszülőit én adtam össze.	Hàng ngày tôi làm phép cưới cho bọn trẻ, mà ngày xưa tôi đã làm phép cưới cho ông nội họ.
Verrières-t úgy tekintem, mintha családom volna; mégis, mikor megláttam az idegent, így szóltam magamban: - Lehet, hogy ez a párisi ember a liberálisok közé tartozik, a kik, sajnos, nagyon is számosan vannak; de mi rosszat tehet szegényeinknek és a raboknak?	Verrières là gia đình của tôi, nhưng tôi tự nhủ, khi trông thấy ông khách này: "Con người này từ Paris tới, sự thật có thể là một người theo phái tự do, họ nhan nhản cả đấy mà; nhưng ông ta có thể làm hại gì cho những người nghèo và những tù nhân của chúng ta?"
Mikor pedig de Rênal úrnak, különösen azonban Valenod úrnak, a szegényház igazgatójának szemrehányásai mind hevesebbekké váltak, az agg plébános így folytatta:	Những lời trách móc của ông de Rênal, và nhất là của ông Valenod, giám đốc viện tế bần, mỗi lúc một gay gắt thêm.
- Ám jó, uraim, mozdítsanak el!	— Thế thì, thưa các ngài!
- Azért mégis itt fogok lakni.	Nhưng tôi sẽ vẫn ở xứ này.
Tudják, hogy negyvennyolcz évvel ezelőtt egy darab földet örököltem, a mi nyolczszáz livre-t jövedelmez; ebből fogok élni.	Ai cũng biết rằng bốn mươi tám năm trước đây, tôi được kế thừa một thửa ruộng có lợi nhuận là 800 livre.
De Rênal úr igen jó egyetértésben élt a feleségével; de mert nem tudott válaszolni az ellenvetésre, melyet az félénken ismételt, hogy: - Mi rosszat tehetne ez a párisi úr a raboknak?	Ông de Rênal vốn rất hòa thuận với vợ, nhưng không biết trả lời thế nào cho cái ý kiến mà bà ta rụt rè nhắc lại: "Cái nhà ông ở Paris kia có thể làm hại gì cho bọn tù nhân?" Ông ta sắp phát cáu hẳn hoi thì vừa lúc đó bà ta kêu lên một tiếng.
Attól félve, hogy megijeszti a fiát és lebukik a falról: de Rênal-né nem merte szólítani.	Sợ làm đứa con sợ hãi và làm nó ngã xuống, nên bà de Rênal không dám nói gì với ai cả.
Végre a gyermek, a kit mulattatott bátor csínytevése, anyjára nézett és látva, hogy mennyire elsápadt, a sétányra ugrott és hozzá szaladt.	Sau cùng đứa bé, đương cười thích chí về hành vi anh hùng của mình, nhìn mẹ, thấy mẹ tái xanh tái xám, nó bèn nhảy xuống mặt đường và chạy lại với bà.
Szigorú dorgálást kapott.	Cu cậu bị mắng một trận nên thân.
Ez a kis epizód megváltoztatta a beszélgetés menetét.	Sự việc nhỏ đó làm đổi chiều câu chuyện.
- Okvetlenül fölfogadom Sorelt, a deszkakereskedő fiát - mondta de Rênal úr; - ő majd felügyel a gyermekekre, a kik kezdenek már nagyon rakonczátlanok lenni.	— Tôi nhất quyết đón về nhà ta anh Sorel, con trai lão thợ xẻ, ông de Rênal nói, hắn sẽ trông nom lũ trẻ, chúng đã bắt đầu nghịch ngợm quá, chúng mình không coi xuể nữa.
Háromszáz francot fogok majd neki adni és ellátást.	Tôi sẽ cho hắn 300 quan và cơm nuôi.
Erkölcsi tekintetben ugyan kissé gyanús előttem, mert hogy ő volt a kedvencze annak a becsületrendes vén sebésznek, a ki azzal az ürügygyel, hogy rokonságban van velök, Sorel-ékhoz szállásolta magát.	Trước kia tôi vẫn có vài điều ngờ vực về đạo đức của hắn, vì hắn là con cưng của lão thiếu tá quân y có Bắc Đẩu Bội Tinh, lão này đã đến ở trọ nhà cha con Sorel, lấy cớ là có họ hàng.
Valójában azonban úgy lehet, a liberálisok titkos ügynöke volt; azt mondta, hogy a hegyi levegő jó hatással van az asthmája ellen; de hát ez nincs bebizonyítva.	Cái lão ấy rất có thể tựu trung chỉ là một thám tử của bọn tự do, lão nói rằng khí hậu miền núi chúng ta có tác dụng tốt đối với bệnh suyễn của lão, nhưng chả có gì là bằng chứng.
Résztvett Buonaparte olaszországi hadjárataiban, sőt, azt mondják, annak idején a császárság ellen szavazott.	Lão đã tham gia tất cả các chiến dịch của Buonaparté ở Ý và thậm chí nghe nói rằng hồi trước lão đã ký khống để ủng hộ đế chế .
A Sorel-gyereket ez a liberális tanította latinra és neki hagyományozta azt a csomó könyvet, a mit magával hozott.	Cái lão tự do phái đó dạy tiếng La tinh cho cậu Sorel, và đã để lại cho cậu này bao nhiêu là sách mà lão đã đem theo đến.
Nem is gondoltam volna reá soha, hogy a fiút gyermekeink mellé fogadjam; de a paptól, épp az előtt való nap, hogy végleg összevesztünk, azt hallottam, hogy a fiatal Sorel három év óta theologiát tanul és az a szándéka, hogy szemináriumba megy; tehát még sem liberális, de latinista.	Vì thế cho nên đáng lẽ chẳng bao giờ tôi nghĩ đến chuyện mời anh con trai lão thợ mộc đến trông nom lũ con của chúng mình, nhưng ông cha xứ, đúng cái hôm trước khi xảy ra câu chuyện làm cho tôi với ông ta quyết tuyệt với nhau, ông có bảo tôi rằng anh chàng Sorel này học thần học đã ba năm nay, với ý định vào chủng viện, vậy anh ta không phải là phái tự do, và anh ta biết tiếng La tinh.
- E megoldás még más szempontból is előnyös, - folytatta de Rênal úr, diplomata arczkifejezéssel nézve nejére. - Az a Valenod, a mióta megvan a két új normandiai parádés-lova, már azt sem tudja, hova legyen a kevélységtől.	Cuộc thu xếp này có lợi về nhiều mặt, ông de Rênal nói tiếp và nhìn vợ với một vẻ bí mật, gã Valenod rất hãnh diện về hai con ngựa Normand đẹp mà hắn nói mua cho xe ngựa của hắn.
Csakhogy az ő gyermekeinek nincs nevelőjük.	Nhưng hắn không có gia sư cho lũ con của hắn.
- Még elhalászhatja előlünk Sorelt.	— Hắn rất có thể hớt mất của ta cậu gia sư này.
- Tehát helyesled szándékomat?	— Vậy mình tán thành dự kiến của tôi chứ?
- kérdezte de Rênal úr, mosolylyal mondva köszönetet feleségének a kitünő megjegyzésért.	Ông de Rênal nói, vừa tủm tỉm cười để cảm ơn vợ về cái ý kiến rất hay của bà ta vừa rồi.
- Istenem!	— Ô, trời ơi!
kedves barátom, mily gyorsan tudod te magadat elhatározni!	Mình quyết định công việc nhanh chóng quá, mình ạ.
- Mert bennem van jellem, a miről a plébános is meggyőződhetett.	— Là vì tôi, tôi có tính cương nghị, ông cha xứ đã thấy rõ đấy.
Ne áltassuk magunkat: körülöttünk hemzsegnek a liberálisok.	Chả nên giấu diếm gì, ở đây bọn tự do đầy rẫy khắp chung quanh ta.
azt akarom, hogy lássák, a mint de Rênal úr gyermekeit a nevelőjük viszi sétálni.	Thế thì tôi chỉ thích cho họ trông thấy lũ con của ông de Rênal đi dạo chơi có gia sư của chúng dẫn dắt.
Nagyapám gyakran beszélt róla, hogy gyermekkorában neki is volt nevelője.	Ông nội tôi thường kể lại rằng, hồi còn trẻ, cụ có một gia sư.
Lehet, hogy száz aranyomba fog kerülni; de ezt úgy kell vennünk, mint rangunk érdekében köteles áldozatot.	Bất quá tôi chỉ tốn một trăm écu , nhưng số tiền đó phải coi như là một món chi tiêu cần thiết để giữ cho đúng địa vị của chúng mình.
Ez a hirtelen elhatározás mélázóvá tette de Rênal-nét.	Sự quyết định đột ngột đó làm cho bà de Rênal phải trầm ngâm suy nghĩ.
