JAMES JOYCE	James Joyce
Szívünk beleremegett, amikor Leo Dillon felmutatta a könyvet, és mindnyájan ártatlan képet vágtunk.	Tim chúng tôi đứa nào cũng thót lại khi Leo Dillon đưa nộp tờ báo và đứa nào cũng cố khoác lên mình bộ mặt thật vô tội.
Butler atya vészjósló tekintettel lapozott bele.	Cha Butler lật từng trang, nhíu mày.
Írója biztosan valami felelőtlen elem, aki azért írja ezeket, hogy legyen miből leinnia magát.	Người ta viết ra nó, ta đoán chắc, hẳn là một gã nhà văn ba xu nào đó viết để lấy tiền uống rượu.
Hanem, Dillon, erősen a figyelmedbe ajánlom, láss munkához, mert...	Nào Dillon, ta khẩn thiết khuyên con, chú tâm học hành đi, nếu không...
Ez a rendreutasítás, az iskola józan légkörében, alaposan megsápasztotta a Vadnyugat glóriáját, és Leo Dillon zavart, pufók arca lelkiismeretemet ébresztgette.	Vụ khiển trách giữa những giờ học nghiêm túc ở trường đó đã làm mờ đi rất nhiều hào quang của Miền Tây Hoang Dã trong mắt tôi, và khuôn mặt bối rối đần thộn của Leon Dillon đã làm bừng tỉnh lương tâm tôi.
De amikor az iskola erkölcsi befolyásától bizonyos távolságra kerültem, ismét feltámadt bennem a szomjúság a vad szenvedélyek, az elvágyódás izgalma után, amelyet, úgy látszik, a zűrzavar e krónikái tudtak csak kielégíteni.	Nhưng khi vòng kiềm toả của trường học đã lùi xa tôi lại nổi cơn ham muốn săn lùng cảm giác hoang dã, săn lùng lối thoát mà những thiên truyện về sự nổi dậy đó dường như mời gọi tôi.
Az esti jelképes csaták végül éppoly terhesek lettek számomra, mint délelőtt a megszokott iskolai unalom, mert valódi kalandokra éheztem, amelyeknek én vagyok a hőse.	Trò đánh trận giả buổi chiều tối cuối cùng với tôi cũng trở nên mệt mỏi y như chuỗi học hành buổi sáng ở trường bởi vì tôi muốn những cuộc phiêu lưu thực sự.
A nyári vakáció szinte elérhető közelségben volt már, amikor rászántam magam, hogy legalább egy napot kiszakítok az iskolai élet sivárságából.	Kỳ nghỉ hè đã đến rất gần khi tôi quyết định phải thoát khỏi sự mệt mỏi của cuộc sống nơi trường học ít nhất là một ngày.
Leo Dillonnal és egy Mahony nevű fiúval kiterveltünk egy napi lógást.	Cùng với Leo Dillon và một thằng tên là Mahony tôi lên kế hoạch bỏ học một buổi.
Fejenként hat pennyt takarítottunk meg erre a célra.	Mấy đứa chúng tôi phải để dành sáu xu.
Délelőtt tíz órára tűztük ki a találkozót a Canal Bridge-nél.	Chúng tôi sẽ gặp nhau lúc mười giờ trên cầu Canal.
Úgy beszéltük meg, hogy Mahonynak a nővére ír majd igazolást, Leo Dillont pedig bátyja fogja kimenteni azzal, hogy beteg.	Chị cả của Mahony sẽ viết giấy xin phép cho nó được nghỉ học còn Leo Dillon phải bảo em nó nói rằng nó bị ốm.
A Wharf Roadon akartunk lemenni a kikötőig, utána át a kompon, ki a Galambházhoz.	Chúng tôi tính sẽ đi dọc đường Wharf đến nơi tàu thuyền đậu, từ đó đi phà sang bên kia và đi bộ đến Pigeon House.
Leo Dillon aggályoskodott, hogy esetleg találkozhatunk Butler atyával vagy a kollégiumból valakivel; mire Mahony nagyon okosan, megkérdezte, mit keresne Butler atya kinn a Galambháznál.	Leo Dillon sợ nhỡ đâu chúng tôi gặp phải Cha Butler hay ai đó ở trường, nhưng Mahony hỏi, một cách rất có lý, rằng làm sao lúc đó Cha Butler lại có thể đứng ở Pigeon House được.
Megnyugodtunk, és az összeesküvés első szakaszát lezártam azzal, hogy beszedtem tőlük a hatpennyket, ugyanakkor felmutattam a magamét.	Chúng tôi yên tâm hơn, và tôi hoàn thành bước một của kế hoạch bằng việc thu sáu xu của hai thằng kia, cùng lúc cũng chìa racho chúng xem sáu xu của tôi.
Kezet ráztunk, nevettünk, és Mahony azt mondta:	Chúng tôi bắt tay nhau cười và Mahony nói;
- Viszlát, cimborák!	- Mai nhé, chúng mày!
Akkor éjjel rosszul aludtam.	Đêm đó tôi trằn trọc mãi.
Könyveimet a szeméttartály melletti magas fűbe dugtam, a kert végében, ahol senki sem szokott mászkálni, és végigrohantam a csatornaparton.	Tôi giấu sách vở trong đám cỏ rậm gần hố chôn rác tận cuối vườn, nơi chẳng ai lai vãng, và vội vã đi dọc bờ kênh.
Felültem a hídkarfára, és megcsodáltam vékony vászoncipőmet, amelyet előző este szorgalmasan bekrétáztam, és figyeltem a bölcs lovakat, amint az üzletemberekkel zsúfolt omnibuszokat felvontatják a dombra.	Tôi ngồi trên thành cầu, ngắm nghía dôi giày vải móng mảnh cả đêm qua tôi đã hì hục dánh cẩn thận và nhìn những con ngựa ngoan ngoãn kéo xe chở đầy viên chức lên đồi.
Az utat sudár fák szegélyezték, ágaikon, mint az életkedv zöld zászlói, lengtek a könnyű levelek, és napfény nyilallt át rajtuk a vízbe.	Hai hàng cây cao dọc theo con đường đi dạo hớn hở rung những chiếc lá nhỏ xanh tơ, và ánh nắng chiếu xiên xiên in bóng chúng lên mặt nước.
A híd gránitpillére melegedni kezdett, paskolni kezdtem tenyeremmel egy dallam ütemére, amely agyamban zsongott.	Thành cầu bằng đá granit ấm dần lên, và tôi bắt đầu lấy tay đập đập lên nó theo nhịp một giai điệu đang vang lên trong đầu.
Öt vagy tíz percig ültem ott, amikor megláttam Mahony közeledő szürke öltönyét.	Ngồi được năm hay bảy phút gì đó tôi thấy bóng áo đồng phục xám của Mahony đang tiến lại.
Feljött a dombra, mosolygott, és felkapaszkodott mellém a hídra.	Nó đi lên đồi, miệng mỉm cười, và trèo lên bên cạnh tôi.
Csúzliját, mely kiágaskodott belső zsebéből, előhúzta, és elmagyarázott néhány újítást, amellyel legutóbb tökéletesítette.	Trong lúc chúng tôi chờ đợi, nó lôi ra từ túi áo trong căng phồng một cây súng cao su và giải thích nó đã nâng cấp cây súng những chỗ nào.
Érdeklő­dé­semre, hogy miért hozta magával, azt válaszolta, hogy a madarak között akar egy kis zrít csapni.	Tôi hỏi tại sao nó mua cây súng, và nó bảo tôi nó mua cây súng để hầu chuyện bọn chim chóc.
Mahony természetes könnyedséggel használt csibész szavakat, és Butler atyát megejtő közvet­lenséggel Bütyöknek hívta.	Mahony dùng tiếng lóng vô tội vạ, còn gọi Cha Butler là Bulter Bà Chằn!
Várakoztunk még egy negyedóráig, de Leo Dillonnak nyoma sem volt.	Chúng tôi đợi thêm mười lăm phút nữa, nhưng vẫn không thấy bóng dáng Leo Dillon đâu.
Végül Mahony leugrott és kijelentette:	Cuối cùng Mahony nhảy xuống và bảo:
- Tudtam, hogy a Dagi bemajrézik!	- Đi thôi.
- aggályoskodtam.	- Thế còn sáu xu của nó... - tôi nói.
A North Strand Roadon baktattunk egészen a kénsavgyárig, aztán jobbra tértünk a Wharf Road mentén.	Chúng tôi đi dọc theo đường North Strand tới nhà máy Vitriol Works rồi rẽ phải đi dọc Wharf Road.
Mihelyt kikerültünk a nyilvánosság látóköréből, Mahony elkezdett indiánosdit játszani.	Mahony bắt đầu lôi trò người Anh Điêng ra ngay khi chúng tôi đi vào khu vắng người hơn.
Feje fölött csóválva üres csúzliját, rárontott egy csapat szakadt ruhájú kislányra, és amikor két rongyos kisfiú lovagiasan a védelmükre kelt, és kőzáport zúdított ránk, azt indítványozta, hogy ütközzünk meg velük.	Nó đuổi một đámg con gái áo quần rách nát chạy tán loạn, tay khua cây súng cao su chưa nạp đạn, và khi hai thằng bé rách rưới, tỏ ra hiệp sĩ, bắt đầu ném đá vào chúng tôi, Mahony bảo chúng tôi phải xử lý chúng.
Kijelentettem, hogy a két kis fickó fél fogunkra sem lenne elég, erre továbbálltunk, a rongyos csapat üvöltözéseitől kísérve: - Nyakasok!	Tôi phản đối, nói rằng mấy thằng này còn quá nhỏ, và thế là chúng tôi đi tiếp, lũ trẻ rách rưới hét sau lưng: Bọn Tin Lành!
Nya­kasok!	Bọn Tin Lành!
- nyilván azt gondolták, hogy protestánsok vagyunk, mert Mahony sötét bőrű volt, és sapkáján egy krikettklub ezüstjelvényét hordta.	Tưởng chúng tôi là những người Tin Lành bởi vì Mahony, da bánh mật, có một phù hiệu của câu lạc bộ cricket bằng bạc gắn trên mũ.
Mikor a Vasaló-sziklához értünk, rendeztünk egy ostromot; de nem sikerült, mert legalább három kell hozzá.	Khi tới Broathing Iron, chúng tôi định chơi trò bao vây, nhưng không được bởi trò này phải có ít nhất ba người.
Leo Dillonon töltöttük ki a bosszúnkat azzal, hogy mindenféle majrésnak lehordtuk, és azt találgattuk, hányast kap vajon Ryan úrtól három órakor.	Chúng tôi tự trả thù Leo Dillon bằng cách chửi rủa nó là đồ thỏ đế và đoán già đoán non xem nó sẽ lãnh bao nhiêu từ thầy Ryan lúc ba giờ chiều nay.
Aztán a folyó közelébe értünk.	Chúng tôi đi về phía gần sông.
Dél lett, mire a rakparthoz értünk, és mivel láttuk, hogy a munkások mind ebédel­nek, vettünk két nagy ribizlis lepényt, és leültünk enni a folyóparton szerteszórt vasdarabokra.	Đến trưa chúng tôi mới tới được bến cảng và bởi dường như cả đám công nhân ai cũng đang ăn trưa, chúng tôi mua hai cái bánh bao nhân nho to đùng và ngồi ăn trên đường ống kim loại dọc theo sông.
Dublin nyüzsgő életének látványával szórakoztatott bennünket - a vontatók, amelyeket messziről jelzett gyapjas füsthajuk, a barna halászbárkák Ringsenden túl, a nagy fehér vitorlás, amelyet a szemközti rakparton éppen kirakodtak.	Chúng tôi thích thú ngắm nhìn cảnh buôn bán của Dublin - những chiếc xà lan cuộn khói trắng xốp báo hiệu từ xa, những đoàn thuyền đánh cá đậu phía trên Ringsend, một con tàu lớn màu trắng đang dỡ hàng phía cảng trước mặt.
Mahony megjegyezte, hogy jó kis cirkusz lenne, ha kiszöknénk a tengerre az egyik nagy hajóval, és még én is, ahogy a karcsú árbocokra néztem, láttam vagy elképzeltem, hogy a földrajz, amelyet hézagosan belém adagoltak az iskolában, fokozatosan alakot ölt szemeim előtt.	Mahonyh nói bây giờ mà được chạy trốn ra biển trên con tàu lớn như thế thì đỉnh quá, và ngay cả tôi, nhìn những cột buồm cao vút, cũng thấy, hoặc là tưởng tượng ra, những vùng địa lý được dạy một cách khốn khổ ở trường đang dần dần hiện ra bằng xương bằng thịt trước mắt.
Amikor partra értünk, megnéztük, hogyan rakják ki azt a kecses háromárbocost, amelyet már a túlpartról észrevettünk.	Khi đến nơi chúng tôi đứng nhìn con tàu bacột buồm duyên dáng dỡ hàng, con tàu chúng tôi quan sát lúc trước phía bờ bên kia.
Egy őgyelgő megjegyezte, hogy norvég hajó.	Một người cũng đứng xem nói con tàu đến từ Na Uy.
- Csak apróra!	- Được rồi!
Mikor ezt is meguntuk, lassan Ringsend felé bandukoltunk.	Khi đã xem chán cảnh này chúng tôi đi chầm chậm vào Ring send.
Fülledtté vált a levegő, és a szatócsboltok kirakataiban fakón hevertek a penészes kétszersültek.	Ngày đã trở nên nóng bức, và trong cửa kính các cửa hiệu tạp phẩm những chiếc bánh quy nằm trắng mốc.
Kétszersültet és csokoládét vettünk, és kitartóan rágcsáltuk, amíg a mocskos utcákon bolyongtunk, ahol a halászcsaládok élnek.	Chúng tôi mua một ít bánh quy và sôcôla, nhấm nháp trong khi đi lòng vòng trong khu phố tồi tàn nơi trú ngụ của gia đình những người đánh cá.
Mahony ettől ismét felélénkült, és végighajszolt egy macskát az egyik utcán, de a macska kimenekült a tág mezőre.	Tỉnh người lại nhờ chai nước, Mahony lại chạy đuổi một con mèo vào ngõ nhỏ, nhưng con mèo chạy thoát ra một bãi đất rộng.
Mindketten alaposan elfáradtunk, és amint elértük a mezőt, azonnal felrohantunk egy lejtős partra, amelynek taréjáról látni lehetett a Doddert.	Cả hai chúng tôi đều thấy thấm mệt và khi tới được bãi đất trống, chúng tôi chạy ngay xuống phía sườn dốc, phía dưới chúng tôi là sông Dodder.
Túl késő volt, és túl fáradtak voltunk ahhoz, hogy ellátogassunk a Galambházhoz.	Đã quá muộn và chúng tôi quá mệt để tiếp tục thực hiện kế hoạch đi Pigeon House.
Mahony bánatosan nézegette csúzliját, és még mielőtt visszanyerte volna virgoncságát, javasoltam, hogy hazafelé vonattal menjünk.	Mahony nhìn cây súng cao su của nó một cách tiếc nuối, và tôi phải đề nghị đi tàu về nhà thì nó mới vui vẻ trở lại chút ít.
A nap felhők mögé bújt, és magunkra hagyott bágyadt gondolatainkkal és élelmünk utolsó morzsáival.	Mặt trời nấp sau mây và để chúng tôi lại với những ý nghĩ mệt mỏi rã rời và đống vụn thức ăn còn lại.
Lustán bámultam, és egy gyökeret rágcsáltam, amelyből a lányok jövendölni szoktak.	Tôi uể oải quan sát ông ta, miệng nhai một nhánh cỏ gà, loại cỏ bọn con gái hay dùng để bói.
Egyik keze a csípőjén, a másikban bot, amellyel könnyedén érintette a fövényt.	Ông ta bước đi một tay chống hông còn tay kia cầm cây can gõ nhẹ xuống nền đất.
Kopott, piszkosszürke ruha volt rajta, és a fején egy olyan széles karimájú kalap, amelyet mi művészkalapnak hívtunk.	Ông ta trông xoàng xĩnh trong bộ comlê màu xanh đen và đội một cái mũ chúng tôi gọi là mũ jerry có chỏm cao.
Amikor elhaladt a lábunknál, hirtelen felpillantott, azután folytatta útját.	Đi ngang phía dưới chúng tôi ông ta liếc nhìn rất nhanh rồi lại tiếp tục đi tiếp.
Követtük szemünkkel, és láttuk, hogy amikor úgy körülbelül ötven lépésre jutott tőlünk, megfordult, és visszafelé irányította lépteit.	Chúng tôi nhìn theo ông ta và thấy khi đã đi tiếp được khoảng năm chục bước ông ta quay lại và bắt đầu đi lại con đường cũ.
Nagyon lassan ballagott, botjával minden lépésnél a földet érintve, oly lassan, hogy azt hittem, valamit keres a fűben.	Ông ta tiến về phía chúng tôi thật chậm chạp, can gõ gõ xuống đất, chậm đến nỗi tôi nghĩ ông ta đang tìm cái gì đó trong đám cỏ.
