A KASTÉLY	LÂU ĐÀI
K., nehogy olyasmit mondjon, ami nem lenne helyénvaló, másra terelte a szót.	Để khỏi phải nói điều không đúng chỗ, K. nói lảng sang chuyện khác.
- Nyilván ismeri a grófot?	- Chắc là anh quen ngài bá tước?
- kérdezte.	- chàng hỏi.
- Nem - felelte a tanító, és el akart fordulni tőle, K. azonban nem tágított, és újra megkérdezte:	- Không,- thầy giáo trả lời và định bước đi, nhưng K. không chịu thôi, chàng hỏi lại:
- Hogyan?	- Sao, anh không quen bá tước à?
- Hogyan ismerhetném?	- thầy giáo nói nhỏ, rồi anh ta nói thêm bằng tiếng Pháp, giọng to hơn .
- mondta a tanító halkan, majd hangosan hozzátette franciául: - Legyen tekintettel ezekre az ártatlan gyermekekre.	- Anh hãy thận trọng hơn trước mặt những đứa trẻ vô tội này.
K. ebből úgy érezte, fölteheti a kérdést:	Nghe thế K. cảm thấy mình có thể đặt câu hỏi:
- Meglátogathatnám egyszer, tanító úr?	- Tôi có thể đến thăm anh được không, thầy giáo?
Hosszabb ideig itt maradok, és máris meglehetősen elhagyatottnak érzem magam, sem a parasztokhoz nem tartozom, sem a kastélyba.	Tôi sẽ ở lại đây lâu, vậy mà bây giờ đã cảm thấy mình bị bỏ rơi, tôi không thuộc về những người nông dân, cũng không thuộc về Lâu đài.
- A parasztok meg a kastély közt nincs nagy különbség - mondta a tanító.	- Giữa nông dân và Lâu đài không có sự khác biệt lớn, - thầy giáo nói.
- Lehet - mondta K. -, de ez az én helyzetemen mit sem változtat.	- Có thể, - K. nói, - nhưng điều đó không làm thay đổi gì được tình thế của tôi.
Meglátogathatom egyszer?	Tôi có thể đến thăm anh chứ?
- A Hattyú utcában lakom, a hentesnél.	- Tôi ở phố Thiên Nga, cạnh nhà bán thịt.
Ezzel ugyan nem hívta meg, legföljebb csak a címét közölte, K. mégis azt mondta:	Như vậy là anh ta đã không mời chàng, chỉ thông báo địa chỉ, thế nhưng K. vẫn nói:
- Jó, majd fölkeresem.	- Được rồi, tôi sẽ tìm anh.
K. zavart volt, bosszantotta a beszélgetés.	K. lúng túng. Cuộc nói chuyện đã làm chàng bực mình.
Mióta útnak indult, most először érezte magát igazán fáradtnak.	Từ khi lên đường, đây là lần đầu tiên chàng cảm thấy mệt thật sự.
Ellenállhatatlan kívánság ösztökélte, hogy új ismeretségeket szerezzen, de minden új ismeretség csak fokozta fáradtságát.	Chàng không cưỡng lại được lòng mong muốn có những mối quen biết mới, nhưng những quan hệ mới lại làm chàng mệt mỏi.
Ha ebben a mostani állapotában összeszedi magát, és legalább a kastély bejáratáig elsétál, máris untig eleget tett.	Nếu trong trạng thái này mà cố bình tâm lại và đi dạo cho đến cổng tòa Lâu đài thì cũng đã là quá đủ.
Továbbindult hát, előre; csakhogy az út nagyon hosszúnak bizonyult.	Chàng tiếp tục đi về phía trước, nhưng đường còn rất dài.
Az utca ugyanis, a falu főutcája, nem vitt föl a várhegyre, hanem csak a közelébe; ott aztán, mintegy szándékosan, elkanyarodott, s ha nem is távolodott el a kastélytól, közeledni sem közeledett hozzá.	Hóa ra con đường chính của làng lại không dẫn lên quả đồi có Lâu đài, mà chỉ dẫn đến gần đó, rồi như cố ý, nó rẽ ngang, không bỏ xa Lâu đài mà cũng không dẫn đến gần.
Elhagyatott azért mégsem volt: parasztházikók álltak jobbról is, balról is.	Chân ngập trong tuyết nên mỗi bước đi đều làm chàng mệt mỏi, ê chề.
Hógolyót gyúrt, és megdobta vele az egyik ablakot.	Mồ hôi vã ra, chàng bỗng dừng lại, không thể đi tiếp tục.
- Bemehetek egy kicsit magukhoz?	- Tôi có thể vào chỗ các bác một lúc được không?
- mondta K. - Nagyon elfáradtam.	- K. nói, - tôi mệt lắm.
Nem is hallotta, mit válaszolt az öreg, hálás szemmel látta, hogy egy deszkaszálat csúsztatnak elébe, azon egykettőre kikecmergett a hóból, és néhány lépés után máris bent volt a szobában.	Chàng không nghe thấy ông lão nông dân trả lời, nhưng với lòng biết ơn, chàng nhìn thấy ông ta lấy một tấm ván ra lót để chàng có thể thoát ra khỏi lớp tuyết dày và chỉ sau vài bước đã có mặt ở trong phòng.
Homályos, nagy szoba: a kintről jövő először semmit sem látott.	Căn phòng lớn, tranh tối tranh sáng: người ở ngoài vào không nhìn thấy gì hết.
K. nekitámolygott egy mosó­teknőnek, egy női kéz húzta vissza.	K. vấp phải cái chậu giặt, một bàn tay phụ nữ kéo chàng trở lại.
K. mintha felhőkben állt volna.	K. như đứng trong đám mây.
- Részeg - mondta valaki.	- Anh ta say rượu, - có ai đó nói.
- Ki maga?	- Anh là ai?
- kiáltotta egy parancsoló hang, és ráförmedt az öregre: - Miért engedted be?	- một giọng kẻ cả hỏi chàng rồi quát ông lão: - Tại sao lại để hắn vào?
Azt hiszed, mindenkit be lehet engedni, aki az utcán ődöng?	Ông tưởng có thể cho tất cả bọn lang thang ngoài đường vào nhà hay sao?
- A grófi földmérő vagyok - mondta K., és ezzel igyekezett igazolni magát a még mindig láthatatlan kérdező előtt.	- Tôi là người đạc điền của ngài bá tước. - K. nói như muốn thanh minh trước người hỏi chưa rõ mặt.
- Ó, a földmérő!	- Ồ, người đạc điền!
- mondta egy női hang, s utána teljes csönd következett.	- một giọng phụ nữ cất lên, sau đó là sự im lặng bao tr
- Ismernek?	- Mọi người biết tôi chứ?
- kérdezte K.	- K. hỏi.
- Hogyne - mondta még kurtán ugyanaz a hang.	- Sao lại không , - vẫn là giọng nói cộc lốc đó.
Úgy látszott, éppenséggel nem ajánlólevél számára, hogy ismerik.	Xem ra thì việc người ta biết chàng không phải là lá thư bảo đảm lúc này.
A gőz végre eloszlott egy kicsit, és K. lassacskán tájékozódni tudott.	Cuối cùng hơi nước đã tan đi một ít, và K. bắt đầu định hướng được.
Mintha nagymosás lett volna.	Đường như hôm nay là ngày tắm giặt của họ.
Az ajtó közelében fehérneműt mostak.	Cạnh cửa người ta giặt đồ lót.
A pára azonban a túlsó sarokból áradt, ahol egy dézsában, amekkorát K. még életében nem látott - akkora lehetett, mint két ágy egyben -, a füstölgő vízben két férfi fürdött.	Hơi nước bốc lên từ cuối góc phòng, nơi đó trong một cái thùng to mà K. chưa từng thấy bao giờ trong đời, - to như một cái giường đôi - hai người đàn ông đang tắm, hơi nước mù mịt.
De még meglepőbb volt a jobb sarok, bár pontosan nem lehetett tudni, mi a meglepő benne.	Nhưng bất ngờ nhất là góc phòng bên phải, mặc dù không thể biết chính xác là có cái gì bất ngờ nơi đó.
Egy nagy lyukon, a szoba hátsó falának egyetlen nyílásán, fakó holdvilág sütött be, bizonyára az udvarról, és selymes fényt adott egy nő ruhájának, aki mélyen bent a sarokban inkább ernyedten feküdt, mint ült egy magas támlás széken, csecse­mő­vel a mellén.	Qua một cái lỗ lớn, duy nhất, trên tường phía sau của căn phòng, từ ngoài sân trăng bàng bạc chiếu lên quần áo của một người phụ nữ thứ ánh sáng mượt mà.
Körülötte néhány gyerek játszott, szemlátomást parasztgyerekek, ő azonban mintha nem is ide tartozott volna, érthetően, hiszen a fáradtság és a betegség a parasztokat is megfinomítja.	Nàng đang nằm uể oải thì đúng hơn là ngồi trong một chiếc ghế bành cao, ôm đứa trẻ sơ sinh trên ngực.
K. örült, hogy végre leülhet.	K. thích thú vì rốt cuộc chàng có thể ngồi xuống.
Ettől fogva nem is törődtek vele többet.	Từ lúc đó người ta không để ý đến chàng nữa.
A mosóteknőnél a telt, szőke fiatalasszony halkan dúdolt munkája közben, a fürdőben a két férfi locskolódott és kapálózott, a gyerekek időnként a közelükbe óvakodtak, de hatalmas fröcsköléssel, K.-t sem kímélve elkergették őket.	Cạnh cái chậu giặt, một thiếu phụ có mái tóc dày, màu vàng vừa se sẽ hát vừa làm việc, còn trong thùng tắm là hai người đàn ông đang cười nói huyên thuyên, chân tay vùng vẫy.
A támlás széken az asszony már-már élettelenül feküdt, még a mellén levő csecsemőre se pillantott rá, csak bámult, valahová föl a magasba.	Thỉnh thoảng bọn trẻ thận trọng đến gần họ nhưng đều bị họ, không nể mặt K., quẫy cho nước bắn tung tóe, đuổi đi.
K. hosszan elnézte ezt a változatlanul szép, szomorú képet, aztán elaludhatott, mert amikor egy harsány hangra fölriadt, feje ott pihent a mellette ülő öregember vállán.	K. nhìn hồi lâu cảnh tượng đẹp và buồn đó, rồi có thể chàng đã ngủ, vì khi choàng tỉnh dậy bởi một giọng nói oang oang, chàng thấy đầu mình ngả vào vai ông lão ngồi cạnh.
A két férfi befejezte a fürdést, s most a szőke asszony felügyelete mellett a gyerekek hancúroztak a dézsában; azok ketten meg ott álltak fölöltözve K. előtt.	Hai người đàn ông đã tắm xong, họ đã mặc quần áo và đứng trước mặt K., còn bọn trẻ thì đùa giỡn trong thùng nước bên cạnh thiếu phụ tóc vàng đang ngồi trông.
Kiderült, hogy a nagyhangú szakállas a kevésbé jelentős köztük.	Té ra, cái gã to giọng, có râu quai nón lại là người ít quan trọng trong bọn họ.
A másik ugyanolyan magas volt, mint a körszakállas, de sokkal kisebb szakállal; csöndes, lassú észjárású, zömök testű, széles arcú ember volt, fejét előre­szegte.	Người đàn ông khác cũng cao như gã có râu quai nón, nhưng ít râu hơn nhiều, là một người trầm tĩnh, chậm rãi, to ngang, mặt rộng, lưỡng quyền nhô cao.
- Földmérő úr - mondta -, itt nem maradhat.	- Ngài đạc điền à, - gã nói, - ngài không thể ở đây được, xin lỗi ngài về sự bất nhã.
Elnézést az udvariatlanságért.	- Tôi cũng không muốn ở đây, - K. nói.
- Nem is akartam itt maradni - mondta K. -, csak szerettem volna egy kicsit kipihenni magam.	- Tôi chỉ muốn nghỉ ngơi một lúc.
Megtörtént, és most megyek.	Và tôi được nghỉ rồi, bây giờ tôi đi đây.
- Bizonyára csodálkozik, hogy oly kevéssé vagyunk vendégszeretők - mondta a férfi -, de nálunk nem divat a vendégbarátság, nekünk nem kell vendég.	- Chắc là ngài ngạc nhiên vì chúng tôi không hiếu khách, - gã nói tiếp, - nhưng hiếu khách không phải là mốt ở đây, chúng tôi không cần khách.
Fölfrissülve kissé az alvástól, s egy kicsit fogékonyabb hallással, mint az előbb, K. örült a nyílt beszédnek.	K. sảng khoái hơn tí chút nhờ giấc ngủ, chàng lấy làm mừng trước lời nói thẳng thắn.
Szabadabban mozgott, botját hol ide, hol oda támasztotta, egyre közelebb került a támlás székben pihenő nőhöz, egyébként termetre is a legnagyobb volt a szobában.	Chàng cử động thoải mái hơn, chống gậy đi lại trong phòng, thậm chí còn đến gần chỗ người đàn bà ngồi trong chiếc ghế bành, cảm thấy mình cao hơn tất cả mọi người.
- Igaz - mondta -, minek is nektek a vendég.	- Phải rồi, - K. nói, - các anh cần gì khách.
De azért hébe-hóba mégiscsak szükség van egyre, mint például rám, a földmérőre.	Nhưng dù sao thỉnh thoảng cũng cần đến một người đạc điền như tôi đây.
- Ha hívták az urat, akkor bizonyára kell is, ez nyilván kivételes eset, mi, kisemberek azonban ragaszkodunk a szabályhoz, ezt nem is veheti zokon tőlünk.	Nhưng chúng tôi là những kẻ thấp cổ bé họng, phải giữ đúng nguyên tắc, ngài không nên khó chịu với chúng tôi
- Nem, nem - mondta K. - Inkább hálával tartozom, maguknak és mindenkinek itt.	- Không, không, - K. nói, - Tôi mang ơnà tất cả mọi người ở đây thì đúng hơn.
És mindnyájuk számára teljesen váratlanul egy ugrással megfordult, és ott állt a nő előtt.	Và thật hoàn toàn bất ngờ đối với họ, K. nhảy một cái, và chàng đã đến trước mặt người đàn bà trong ghế bành.
Az fáradt kék szemét K.-ra emelte, áttetsző selyem fejkendője egészen a homloka közepéig ért, mellén aludt a csecsemő.	Nàng đưa mắt mệt mỏi nhìn , K., chiếc khăn quàng bằng lụa mỏng trùm đến giữa trán, trên ngực nàng là đứa trẻ sơ sinh đang ngủ.
- Ki vagy te?	- Cô là ai?
- kérdezte K.	- K. hỏi.
- Egy lány a kastélyból - vetette oda a nő, és nem lehetett tudni, K.-nak szól-e a fitymálás vagy a saját válaszának.	- Một cô gái đến từ Lâu đài, - nàng trả lời cộc lốc, không thể hiểu là sự miệt thị này dành cho K. hay cho chính câu trả lời của nàng.
Egyetlen pillanatig tartott az egész, K.-t máris közrefogta a két ember, és mintha másként semmiképp sem érthetnének szót, némán, de teljes erejükből az ajtó felé húzták.	Tất cả chỉ xảy ra trong chốc lát, hai người đàn ông túm lấy K. và dường như không thể giải thích được bằng lời nói, họ lặng lẽ lấy hết sức lôi chàng ra cửa.
Közben az öreg nagyon örülhetett valaminek, mert tapsolt.	Trong khi đó, ông lão không hiểu vui mừng vì điều gì đó, vỗ hai tay vào nhau.
Nevetett a mosónő is, a hirtelen eszeveszett lármát csapó gyerekek mellett.	Người đàn bà đang giặt cũng cười bên cạnh những đứa trẻ bỗng nhiên làm ầm ĩ cả lên.
